pid,dc_real_pid,pm_pid,property_name,pm_parent_pid,parent_property_name,year_ending,report_status,address_of_record,owner_of_record,ward,reported_address,city,state,postal_code,year_built,primary_ptype_self,primary_ptype_epa,tax_record_floor_area,reported_gross_floor_area,energy_star_score,site_eui,weather_norm_site_eui,source_eui,weather_norm_source_eui,total_ghg_emissions,total_ghg_emissions_intensity,water_use,electricity_use,natural_gas_use,fuel_use,district_water_use,metered_areas_energy,metered_areas_water,latitude,longitude
PM04557123,3074_0011,4557123,Medical Arts Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2139 GEORGIA AVE NW,HOWARD UNIVERSITY,1,2139 Georgia Avenue NW,Washington DC,DC,20059,1972,College/University,College/University,50391,30396,,45.6,46.9,143.1,147.1,185.5,6.1,502.7,406130,,,,Whole Building,Whole Building,38.91884177,-77.0216191
DC35600810,3560_0810,N/A,,,,12/31/2015,No report received,200 RHODE ISLAND AVE NE,MT INVESTMENTS LLC,5,,Washington,DC,,1936,,Not Provided,74064,,,,,,,,,,,,,,,,38.9189304,-77.003141
DC43650032,4365_0032,N/A,,,,12/31/2015,No report received,3030 - 3070 V ST NE,SMC UNITED INDUSTRIAL LIMITED PARTNERSHIP,5,,Washington,DC,,1957,,Not Provided,106200,,,,,,,,,,,,,,,,38.918933,-76.9646175
PM04060714,3075_0807,4060714,Medical School - Seeley G. Mudd,4060094,Sub Station Buildings,12/31/2015,In Compliance,2041 - 2121 GEORGIA AV NW,HOWARD UNIVERSITY,1,520 W Street NW,Washington DC,DC,20059,1979,College/University,College/University,134494,60000,,10.8,11.6,11.3,12.2,34.3,0.6,715.1,,6458.200029,,,Whole Building,Whole Building,38.918994,-77.020019
PM04060694,3075_0807,4060694,Dental School,4060094,Sub Station Buildings,12/31/2015,In Compliance,2041 - 2121 GEORGIA AV NW,HOWARD UNIVERSITY,1,600 W Street NW,Washington DC,DC,20059,1954,College/University,College/University,134494,172924,,0.1,0.1,0.1,0.1,1.3,0,19017,,241.0000027,,,Whole Building,Whole Building,38.918994,-77.020019
PM03075531,2553_0073,3075531,The Promenade,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1884 COLUMBIA RD NW,ADAMS-MORGAN ASSOCIATES,1,1884 Columbia Road,Washington,DC,20009,1964,Multifamily Housing,Multifamily Housing,187707,206478,85,55.7,57.4,98.1,98.6,927.2,4.5,5089,1148174,75824.43733,,,Whole Building,,38.91900547,-77.04425918
DC43710001,4371_0001,N/A,,,,12/31/2015,No report received,3300 V ST NE,SMC UNITED INDUSTRIAL LIMITED PARTNERSHIP,5,,Washington,DC,,1950,,Not Provided,100200,,,,,,,,,,,,,,,,38.919016,-76.960113
DC35600811,3560_0811,N/A,,,,12/31/2015,No report received,0210 RHODE ISLAND AV NE,MT INVESTMENTS LLC,5,,Washington,DC,,1937,,Not Provided,78372,,,,,,,,,,,,,,,,38.9190519,-77.002847
PM04000713,2538_0803,4000713,SHAWMUT APARTMENTS,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2200 19TH ST NW,FGH SHAWMUT LLC,1,2200 19th St. NW,Washington,DC,20009,1923,Multifamily Housing,Multifamily Housing,73188,73188,34,72.6,74.3,144.3,146.1,474.7,6.5,2354.1,699051.5,29254.0536,,,Whole Building,Whole Building,38.91922263,-77.04504251
PM01244899,3854_0802,1244899,0375 Washington,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1050 BRENTWOOD RD NE,1050 BRENTWOOD CAPITAL LP,5,1050 Brentwood Rd.,Washington,DC,20018,2001,Supermarket/Grocery Store,Supermarket,52758,53045,62,217.3,219.2,582.2,581.8,1337.9,25.2,2837702.8,2633477,25426.19401,,,Whole Building,Whole Building,38.91922981,-76.99243094
PM04372403,1318_2410,4372403,Phylmar Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,4100 W ST NW,PHYLMAR PLAZA CONDO,3,4100 W Street NW,Washington,DC,20007,1957,Multifamily Housing,Multifamily Housing,60736,61000,20,69.9,70.3,165.5,166,443.5,7.3,161.2,788129,15734.00023,,,Whole Building,Whole Building,38.9192954,-77.0817628
PM02371594,1299_0991,2371594,2201 Wisconsin Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2201 - 2213 WISCONSIN AV NW,SUSAN KAHN,3,2201 Wisconsin Avenue,Washington,DC,20007,1981,Office,Mixed Use Property,239241,152901,,67.4,67.5,202.3,202.4,1324.6,8.7,4129.1,2820559,6831.745806,,,Whole Building,,38.91937496,-77.07029354
PM03625087,2541_0806,3625087,The Park Crest,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2308 ASHMEAD PL NW,PARK CREST LLC,1,2070 Belmont Rd NW,Washington,DC,20009,1925,Multifamily Housing,Multifamily Housing,58177,50000,67,61.7,62.2,106.7,105.6,244.9,4.9,2139.6,294095.9,20813.0477,,,Whole Building,Whole Building,38.91947455,-77.04847305
PM04346607,2539_0300,4346607,The Policy,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1921 KALORAMA RD NW,POLICY APARTMENTS DC LLC,1,1921 Kalorama Road NW,Washington,DC,20009,1929,Multifamily Housing,Multifamily Housing,68079,68079,92,49.3,50.3,90.5,91.6,280.2,4.1,1483.4,370648,20884.14243,,,Whole Building,Whole Building,38.91949446,-77.04607312
PM04399521,PAR01310208,4399521,U-Haul Moving and Storage of Intown,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2215 5TH ST NE,AMERCO REAL ESTATE COMPANY,5,2215 NE 5th St,Washington,DC,20002,1927,Self-Storage Facility,Self-Storage Facility,64477,64477,,13.3,12.9,41.7,40.6,114.7,1.8,68.1,251206.7,0,,,Whole Building,Whole Building,38.91952021,-76.99915369
PM04380823,3560_0001,4380823,Rhode Island Gardens,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,230 RHODE ISLAND AVE NE,RHODE ISLAND GARDENS LLC,5,230 Rhode Island Ave. NE,Washington,DC,20002,1932,Multifamily Housing,Multifamily Housing,73304,77160,57,73.1,75.4,105.6,107.3,385.5,5,460.7,312323.6,45722.9607,,,Whole Building,Whole Building,38.9195219,-77.0024781
DC03020074,0302_0074,N/A,,,,12/31/2015,No report received,2201 12TH ST NW,NATIONAL HISPANIC COUNCIL ON AGING,1,,Washington,DC,,2007,,Not Provided,328289,,,,,,,,,,,,,,,,38.919538,-77.027773
PM03992747,2539_0820,3992747,Connecticut Gardens,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1915 KALORAMA RD NW,COLUMBIA REALTY VENTURE LLC,1,1915 Kalorama Rd NW,Washington,DC,20009,1940,Multifamily Housing,Multifamily Housing,68453,58745,80,70.5,71.9,110.5,110.8,302.8,5.2,2587.8,300443.2,31166.52889,,,Whole Building,Whole Building,38.9196177,-77.0456693
DC25291108,2529_1108,N/A,,,,12/31/2015,Exempt from this year's disclosure,1800 KALORAMA SQ NW,KALORAMA SQUARE,,,Washington,DC,,1976,,Not Provided,,,,,,,,,,,,,,,,,38.9196442,-77.0417309
PM03513020,3065_0036,3513020,Howard Center/ Book Store,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2225 GEORGIA AVE NW,HOWARD UNIVERSITY,1,2225 Georgia Ave. NW,Washington,DC,20059,1975,Office,Office,122766,90157,65,72.5,72.6,218.3,218.4,842.2,9.3,4771.8,1797479,3992.399859,,,Whole Building,Whole Building,38.91973496,-77.0215489
PM04598032,3069_0065,4598032,School of Nursing & Allied Health,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0515 BRYANT ST NW,HOWARD UNIVERSITY,1,516 Bryant Street NW,Washington DC,DC,20059,1940,College/University,College/University,68440,68000,,37.2,37.2,116.7,116.7,338.2,5,1511.8,740400,,,,Whole Building,Whole Building,38.9197618,-77.0200717
PM03994318,1317W0011,3994318,4101 W St NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,4101 W ST NW,PARKCREST LLC,3,4101 W St NW,Washington,DC,20007,1926,Multifamily Housing,Multifamily Housing,55144,54884,51,71.6,74.3,109.1,110.7,280.6,5.1,2214.5,261311.3,30356.65915,,,Whole Building,Whole Building,38.91980585,-77.08050168
PM04527772,3058_0834,4527772,Howard University College Hall South,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0654 GIRARD ST NW,HOWARD UNIVERSITY,1,2205 4th Street NW,Washington DC,DC,20059,2014,Residence Hall/Dormitory,Residence Hall/Dormitory,65892,254983,95,20,18,62.9,56.7,683.6,2.7,18005.6,1496761,,,,Whole Building,Whole Building,38.91989,-77.017716
PM04527762,3058_0834,4527762,Howard University College Hall North,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0654 GIRARD ST NW,HOWARD UNIVERSITY,1,2229 4th Street NW,Washington DC,DC,20059,2014,Residence Hall/Dormitory,Residence Hall/Dormitory,65892,138829,96,19.9,17.9,62.4,56.2,369.6,2.7,6629.2,809198.5,,,,Whole Building,Whole Building,38.91989,-77.017716
PM03425601,2541_1133,3425601,The Valley Vista Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2031 BELMONT RD NW,VALLEY VISTA CONDOMINIUM,1,2032 Belmont Rd NW,Washington,DC,20009,1928,Multifamily Housing,Multifamily Housing,116748,168000,86,58.2,59.9,88.6,89,740.9,4.4,4522.6,660096.4,56198.56189,1898161.1,,Whole Building,Whole Building,38.9199902,-77.0480065
PM04371687,4371_0819,4371687,The Goodwill Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2200 SOUTH DAKOTA AVE NE,2200 SOUTH DAKOTA AVE LLC,5,2200 South Dakota Avenue NE,Washington,DC,20018,1982,Distribution Center,Warehouse,93480,89900,64,47.7,48.1,125.2,125.7,488.8,5.4,659.7,947731.8,10520.12319,,,Whole Building,Whole Building,38.9200201,-76.95849178
PM03511931,0330_0800,3511931,HU Service Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1000 FLORIDA AV NW,HOWARD UNIVERSITY,1,2244 10th Street NW,Washington,DC,20059,1903,Office,Office,218339,233173,92,75.5,76.8,141.6,141,1496.7,6.4,4335,2038500,106495.8041,,,Whole Building,Whole Building,38.92009841,-77.02631092
PM03999374,4259_0003,3999374,Northeast Transfer Station,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2160 QUEENS CHAPEL RD NE,WASTE MANAGEMENT OF MARYLAND INC,5,2160 Queens Chapel Road NE,Washington,DC,20018,1960,Other - Public Services,Other - Public Services,56115,56115,,9.1,9.1,28.6,28.7,68.3,1.2,492.6,149621.3,,,,Whole Building,Whole Building,38.9200997,-76.9736943
DC41060816,4106_0816,N/A,,,,12/31/2015,No report received,2301 LAWRENCE AV NE,INNOVATIVE RECYCLERS DC INC,5,,Washington,DC,,1937,,Not Provided,56400,,,,,,,,,,,,,,,,38.920152,-76.975892
DC26600238,2660_0238,N/A,,,,12/31/2015,No report received,1430 BELMONT ST NW,E & G DC CO-OP OWNER LLC,1,,Washington,DC,,1928,,Not Provided,51150,,,,,,,,,,,,,,,,38.920194,-77.0330309
PM04352727,3848_0820,4352727,acadia brentwood llc,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1060 BRENTWOOD RD NE,ACADIA BRENTWOOD LLC,5,1060 brentwood rd NE,washington,DC,20018,2006,Retail Store,Retail Store,58129,58129,,68.3,68.8,190.8,191.3,478.4,8.2,176.9,970957,6579.000098,,,Whole Building,Whole Building,38.92025089,-76.99287485
DC21470040,2147_0040,N/A,,,,12/31/2015,Exempt from this year's disclosure,3100 MASSACHUSETTS AVE NW,UNITED KINGDOM MINISTER FOR PUBLIC BUILDINGS & WORKS,,,Washington,DC,,,,Not Provided,,,,,,,,,,,,,,,,,38.9202563,-77.0629249
DC25671210,2567_1210,N/A,,,,12/31/2015,Exempt from this year's disclosure,1600 BEEKMAN PL NW,BEEKMAN PLACE CONDO,,,Washington,DC,,1977,,Not Provided,,,,,,,,,,,,,,,,,38.9203142,-77.0370985
PM03989831,2552_0812,3989831,THE NORWOOD,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1868 COLUMBIA RD NW,ALONZO O BLISS PROPERTIES,1,1868 Columbia Road N.W.,Washington,DC,20009,1917,Multifamily Housing,Multifamily Housing,78600,78600,65,79.6,80.7,125.6,124.3,459.8,5.9,2713.4,463416.4,46723.13964,,,Whole Building,Whole Building,38.92031585,-77.04370578
PM03512980,2873_1101,3512980,Howard Tower Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2251 SHERMAN AVE NW,HOWARD UNIVERSITY,1,2251 Sherman Ave. NW,Washington DC,DC,20059,1989,Residence Hall/Dormitory,Residence Hall/Dormitory,520000,573687,66,71.4,71.6,152,150.1,3883.5,6.8,39394.7,6197126,198234.7,,,Whole Building,Whole Building,38.92041853,-77.02379153
PM04013991,38480059;38480824;38480825;38487000;38487001,4013991,Rhode Island Row,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2300 WASHINGTON PL NE; 2350 WASHINGTON PL NE,WASHINGTON METROPOLITAN AREA TRANSITY AUTHORITY,5,2300 Washington Place NE,Washington,DC,20018,2012,Multifamily Housing,Multifamily Housing,428030,373430,96,32.6,32.6,101.3,101.3,1613.9,4.3,10849.5,3513642,1705.193747,,,Whole Building,Whole Building,38.92042501,-76.99544227
PM03994325,1317W0020,3994325,2300 - 2308 41st ST NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2300 - 2308 41ST ST NW,PARKCREST LLC,3,2300 41st St NW,Washington,DC,20007,1927,Multifamily Housing,Multifamily Housing,55400,55000,52,68.8,71.3,109,110.5,279.2,5.1,2761.5,284023.9,28134.77021,,,Whole Building,Whole Building,38.92045394,-77.08048371
PM04005378,2563_1613,4005378,Adams Row Condominiums - Whole Community,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2301 CHAMPLAIN ST NW,ADAMS ROW CONDO RESIDENCES,1,2301 Champlain Street NW,Washington,DC,20009,2004,Multifamily Housing,Multifamily Housing,62648,62648,48,62.8,63.2,153.3,153.7,420.4,6.7,2230.4,767837,13126.62555,,,Whole Building,Whole Building,38.9205349,-77.0408603
PM04013965,2661_1714,4013965,Fedora Condominiums - Whole Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1451 BELMONT ST NW,THE FEDORA CONDOMINIUM,1,1451 Belmont Street NW,Washington,DC,20009,2008,Multifamily Housing,Multifamily Housing,93388,93388,69,46.4,46.4,127.9,127.9,515.8,5.5,3680.9,1035794,8035.422385,,,Whole Building,Whole Building,38.9205707,-77.0339356
PM03513078,3064_0044,3513078,Wonder Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2301 GEORGIA AVE NW,HOWARD UNIVERSITY,1,2301 Georgia Avenue NW,Washington,DC,20001,1867,Mixed Use Property,Office,119700,110000,73,82.6,83,242.2,242.6,1143.4,10.4,4795,2397543,9094.999909,,,Whole Building,Whole Building,38.92061614,-77.02162297
DC21470825,2147_0825,N/A,,,,12/31/2015,Exempt from this year's disclosure,3114 MASSACHUSETTS AV NW,UNITED KINGDOM MINISTER FOR PUBLIC BUILDINGS & WORKS,,,Washington,DC,,,,Not Provided,,,,,,,,,,,,,,,,,38.920633,-77.062997
PM04007429,2560_1493,4007429,Lofts at Adams Morgan Condominiums - Whole Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2328 CHAMPLAIN ST NW,THE LOFTS @ ADAMS MORGAN CONDO,1,2328 Champlain Street NW,Washington,DC,20009,2002,Multifamily Housing,Multifamily Housing,63767,63767,23,61.1,61.3,166.6,166.8,459.3,7.2,2970.9,916234,7687.7293,,,Whole Building,Whole Building,38.9206586,-77.0413024
PM04060681,30630801;30680810,4060681,Bethune Annex (3B),4060094,Sub Station Buildings,12/31/2015,In Compliance,2229 4TH ST NW; 2350 4TH ST NW,THE HOWARD UNIVERSITY INC,1,2225 4th Street NW,Washington,DC,20059,1994,Residence Hall/Dormitory,Residence Hall/Dormitory,412591,225000,100,18,18.7,18.9,19.6,215.4,1,12791.7,,40559.69693,,,Whole Building,Whole Building,38.920674,-77.017528
DC42580138,4258_0138,N/A,,,,12/31/2015,No report received,2146 24TH PL NE,2146 24TH PL B&B LLC,5,,Washington,DC,,1953,,Not Provided,61584,,,,,,,,,,,,,,,,38.9207084,-76.9721584
PM03515264,2868_0155,3515264,View 14,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2305 14TH ST NW,VIEW 14 INVESTMENTS LLC,1,2303 14th Street NW,Washington DC,DC,20009,2000,Multifamily Housing,Multifamily Housing,276542,276542,38,49.4,50.2,121.4,122.3,1469,5.3,7354,2698783,44485.99967,,,Whole Building,Whole Building,38.92076394,-77.03157535
PM04768216,1341_0861,4768216,Field School DC Benchmarking,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2301 FOXHALL RD NW,FIELD SCHOOL THE,3,2301 Foxhall Road NW,Washington DC,DC,20007,2002,K-12 School,K-12 School,59154,72243,2,128.7,130.6,302.1,304.1,959.8,13.3,1623.8,1691229,35277.42415,,,Whole Building,Whole Building,38.920777,-77.08787
PM03468516,4359_0834,3468516,4359-0834,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2800 V ST NE,2800 V STREET LIMITED PARTNERSHIP,5,2800 V ST NE,Washington,DC,20018,1950,Non-Refrigerated Warehouse,Warehouse,267683,242810,71,32.4,32.9,75.1,75.6,803.5,3.3,197.5,1398722,30999.89771,,,Whole Building,Whole Building,38.920839,-76.968329
PM04542852,4327_0004,4542852,#1120 Washington DC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2441 MARKET ST NE,COSTCO WHOLESALE CORPORATION,5,2441 Market Street NE,Washington DC,DC,20018,2012,Wholesale Club/Supercenter,Retail Store,160638,160638,1,165.1,166.7,379.2,377.3,2685.9,16.7,2878,4636264,107000.8506,,,Whole Building,Whole Building,38.92085096,-76.95088116
PM03513593,2571_0954,3513593,1661 Crescent Place NW Inc,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1661 CRESCENT PL NW,1661 CRESCENT PLACE NW INC,1,1661 Crescent Place NW,Washington,DC,20009,1926,Multifamily Housing,Multifamily Housing,118686,118686,1,94.2,98.5,212.5,220.2,991.1,8.4,1892.9,1891196,47272.52157,,,Whole Building,Whole Building,38.9208569,-77.0382187
PM04104309,2661_0862,4104309,Adams-Garden Towers,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2325 15TH ST NW,ADAMS GARDEN TOWERS LLC,1,2325 15th Street NW,Washington,DC,20009,1940,Multifamily Housing,Multifamily Housing,54613,49888,46,94.8,95.5,157.5,154.9,363,7.3,2373.5,405305.2,33479.88711,,,Whole Building,Whole Building,38.92086433,-77.0346777
PM03481081,3854_0801,3481081,#2583 NE Washington DC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,901 RHODE ISLAND AVE NE,HOME DEPOT USA INC,5,901 Rhode Island Ave.,Washington,DC,20018,2002,Retail Store,Retail Store,116752,128914,62,80.4,80.5,192.5,190.1,1089.1,8.4,1308,1953843,37028.01188,,,Whole Building,,38.92086804,-76.99082178
PM05007395,4108_0078,5007395,4108-0078,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2115 - 2119 BRYANT ST NE,INNOVATIVE RECYCLERS DC INC,5,2115-2119 Bryant Street NE,Washington,DC,20018,1950,Non-Refrigerated Warehouse,Warehouse,50418,50418,96,6.9,6.9,21.6,21.7,46.4,0.9,75.3,101624,,,,Whole Building,Whole Building,38.920871,-76.974963
DC36290814,3629_0814,N/A,,,,12/31/2015,No report received,0600 - 0602 RHODE ISLAND AV NE,MRP 600 RI LLC,5,,Washington,DC,,,,Not Provided,51256,,,,,,,,,,,,,,,,38.920934,-76.9986857
PM04014187,1299_1028,4014187,WICAL,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2323 WISCONSIN AV NW,WICAL LP,3,2323 Wisconsin Ave NW,Washington,DC,20007,1996,Supermarket/Grocery Store,Supermarket,70474,33752,17,457.5,456.1,1153.4,1142.4,1697.8,50.3,1961122,3185472,45720.71617,,,Whole Building,Whole Building,38.92093428,-77.07161524
PM05770337,3540_0804,5770337,Glenwood Apartments,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2321 Lincoln Rd NE,Glenwood Apartments,5,2321 Lincoln Rd NE,Washington,DC,20002,1972,Multifamily Housing,Multifamily Housing,70145,70145,70,78.4,81.1,118.9,120.6,367.7,5.2,3213.7,359444.4,42749.29809,,,Whole Building,Whole Building,38.9209669,-77.0042214
DC25451139,2545_1139,N/A,,,,12/31/2015,No report received,1900 KALORAMA PL,KALORAMA PLACE,1,,Washington,DC,,,,Not Provided,130541,,,,,,,,,,,,,,,,38.9210927,-77.0458581
PM03542046,2571_0104,3542046,The Envoy,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2400 16TH ST NW,ENVOY ASSOCIATES LTD PTSP,1,2400 16th Street NW,Washington DC,DC,20009,1918,Multifamily Housing,Multifamily Housing,276092,276092,79,36.6,36.9,97.1,97.5,1162.8,4.2,13398.8,2274464,23340.74276,,,Whole Building,Whole Building,38.92117849,-77.03691453
DC41123029,4112_3029,N/A,,,,12/31/2015,No report received,1800 BRYANT ST NE,CHANNING COURT IV CONDO,5,,Washington,DC,,1982,,Not Provided,55957,,,,,,,,,,,,,,,,38.921307,-76.9790033
PM04449421,2661_0863,4449421,Capitol View on 14th,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2400 14TH ST NW,DCO 2400 14TH STREET LLC,1,2420 14th Street,Washington,DC,20009,2012,Multifamily Housing,Multifamily Housing,255728,255728,55,41.7,42,121.8,122.2,1337.6,5.2,8731,2799300,11119.99816,,,Whole Building,Whole Building,38.92152193,-77.03212629
DC25661680,2566_1680,N/A,,,,12/31/2015,Exempt from this year's disclosure,1701 KALORAMA RD NW,THE DELANCEY LOFTS,,,Washington,DC,,2005,,Not Provided,,,,,,,,,,,,,,,,,38.9215297,-77.039145
DC43250041,4325_0041,N/A,,,,12/31/2015,No report received,3298 FORT LINCOLN DR NE,FT LINCOLN SR VILLAGE NO III ASSOCIATES,5,,Washington,DC,,,,Not Provided,246732,,,,,,,,,,,,,,,,38.9215513,-76.9571333
PM04060705,3064_0837,4060705,LK Downing Engineering,4060094,Sub Station Buildings,12/31/2015,In Compliance,2300 - 2370 6TH ST NW,HOWARD UNIVERSITY,1,2300 6th Street NW,Washington,DC,20059,1952,College/University,College/University,162354,98856,,0.2,0.2,0.2,0.3,1.2,0,1734,,220.6000011,,,Whole Building,Whole Building,38.921577,-77.021512
PM03991731,2571_0960,3991731,Diplomat,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2420 16TH ST NW,BDC DIPLOMAT LLC,1,2420 16th St NW,Washington,DC,20009,1927,Multifamily Housing,Multifamily Housing,65266,63170,84,70.4,71,117.3,115.9,342,5.4,1190,384400.2,31338.89976,,,Whole Building,Whole Building,38.92158861,-77.0370093
PM04767963,2549_0877,4767963,1841 Columbia Road,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1841 COLUMBIA RD NW,UIP 1841 COLUMBIA ROAD LLC,1,1841 Columbia Rd NW,Washington,DC,20009,1929,Multifamily Housing,Multifamily Housing,120650,120650,,73.1,74,160.5,161.4,859,7.1,5223.9,1417566,39821.99078,,,Whole Building,Whole Building,38.92161005,-77.04376851
DC43270803,4327_0803,N/A,,,,12/31/2015,No report received,3500 FORT LINCOLN DR NE,FORT LINCOLN NEW TOWN/PREMIUM DISTRIBUTORS LLC,5,,Washington,DC,,2001,,Not Provided,148521,,,,,,,,,,,,,,,,38.9217019,-76.9488327
DC36290007,3629_0007,N/A,,,,12/31/2015,No report received,524 - 528 RHODE ISLAND AVE NE,B&R ASSOCIATES,5,,Washington,DC,,,,Not Provided,194698,,,,,,,,,,,,,,,,38.9217059,-76.9996899
DC39390801,3939_0801,N/A,,,,12/31/2015,Exempt from this year's disclosure,1251 SARATOGA AVE NE,NEW LIFE ISRAEL INC,5,,Washington,DC,,1984,,Not Provided,55238,,,,,,,,,,,,,,,,38.921809,-76.989444
DC38460085,3846_0085,N/A,,,,12/31/2015,Exempt from this year's disclosure,802 - 810 RHODE ISLAND AVE NE,GREATER MOUNT CALVARY HOLY CHURCH,5,,Washington DC,DC,20002,1990,,Not Provided,57815,,,,,,,,,,,,,,,,38.9218471,-76.9945834
PM04473835,2571_1211,4473835,Park Tower,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2440 16TH ST NW,THE PARK TOWER CONDO,1,2440 16th Street NW,Washington,DC,20009,1929,Multifamily Housing,Multifamily Housing,68627,68627,55,61.5,62.7,144.1,145.3,435,6.3,3983.4,764847,16123.00046,,,Whole Building,Whole Building,38.92196,-77.0371949
PM03997988,2572_0036,3997988,Jemal's Citadel LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1641 - 1681 KALORAMA RD NW,JEMALS CITADEL LLC,1,1641-1681 Kalorama Rd,Washington,DC,20009,1940,Mixed Use Property,Other,116690,116689,,119.8,121,324.7,325.9,1639.2,14,2381.7,3253906,28801.32504,,,Whole Building,Whole Building,38.92198694,-77.03844187
PM03994902,1708_2428,3994902,2325 42nd Street Condominium Assoc.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2325 42ND ST NW,2325 42ND ST CONDO,3,2325 42nd St NW,Washington,DC,20007,1957,Multifamily Housing,Multifamily Housing,51118,51118,8,93.8,96.8,148.3,150.1,353,6.9,1662.9,356946,35765.41673,,,Whole Building,Whole Building,38.9220682,-77.0816378
PM03984056,2868_1520,3984056,Wardman Court Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1308 CLIFTON ST NW,WARDMAN COURT CONDOMINIUM,1,1308 Clifton St NW,Washington,DC,20009,2003,Multifamily Housing,Multifamily Housing,60766,60766,90,32.7,32.7,102.5,102.5,265.7,4.4,992.6,581626,,,,Whole Building,Whole Building,38.9220978,-77.0302179
DC28680820,2868_0820,N/A,,,,12/31/2015,No report received,1312 - 1350 CLIFTON ST NW,CLIFTON TERRACE L P,1,,Washington,DC,,1916,,Not Provided,111224,,,,,,,,,,,,,,,,38.9221163,-77.0313037
PM04366162,1708_2427,4366162,Beecher House Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2400 41ST ST NW,THE BEECHER HOUSE CONDO,3,2400 41st St NW,Washington,DC,20007,1959,Multifamily Housing,Multifamily Housing,59225,59225,,82.8,83.7,140.5,139.6,383.1,6.5,1652.2,445387.2,33829.26984,,,Whole Building,Whole Building,38.9221492,-77.0811328
