Address,Atlanta Building ID,Blank ,Views by Parameter,City,ENERGY STAR Score,Number of Buildings,Number of Records,Postal Code,Grouped Property Types,Primary Property Type - Self Selected,Property GFA - Calculated (Buildings) (ft²),Property Id,Property Name,Property Notes,Site EUI (kBtu/ft²),Site Energy Use (kBtu),State/ Province,Table Names,Total GHG Emissions (Metric Tons CO2e) (group),Total GHG Emissions (Metric Tons CO2e),Water Use (kGal),Water Use Intensity (gal/ft²),Year Built,Year Ending,Year
"2406 Fairburn Road, SW",121936, ,,Atlanta,,1,1,30331,Municipal,Fire Station,2873,3963165,Fire Station 31,Water data: This meter had only sporadic usage and stopped recording completely in May 2014.,233.2,670007,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,55.399999999999999,55.4,,,1957,12/31/2017,1/1/2018
3671 Southside Industrial Prk SW,802739, ,,Atlanta,,1,1,30354,Municipal,Fire Station,10000,3963166,Fire Station 34,Not Available,70.7,706720,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,68.0,68,,,1989,12/31/2017,1/1/2018
"2825 Campbellton Road, SW",882996, ,,Atlanta,,1,1,30311,Municipal,Fire Station,12356,3963167,Fire Station 7,Fire Station 7 is currently shut down awaiting renovation. It is not in use.,37.5,463710,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,59.100000000000001,59.1,,,1910,12/31/2017,1/1/2018
1711 Marietta Blvd NW,497246, ,,Atlanta,,1,1,30318,Municipal,Fire Station,10525,3963168,Fire Station 8,Not Available,55.8,587426,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,58.600000000000001,58.6,,,1967,12/31/2017,1/1/2018
3501 MLK Jr Drive SW,642113, ,,Atlanta,,1,1,30331,Municipal,Fire Station,5831,3963169,Fire Station 9,Gas data: there is no Nov. 2014 gas data from the gas company.,122.2,712821,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,65.5,65.5,,,1957,12/31/2017,1/1/2018
165 16th Street NE,315371, ,,Atlanta,,1,1,30309,Municipal,Fire Station,14445,3963171,Fire Station 11,Water data: The account is a Fire Services Account (normally an internal fire system such as a sprinkler) and shows no usage.,60.3,870936,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,97.400000000000006,97.4,,,2010,12/31/2017,1/1/2018
"431 Flat Shoals Avenue, S.E.",716400, ,,Atlanta,,1,1,30316,Municipal,Fire Station,9659,3963176,Fire Station 13,"General Information:
- FS13 opened for occupancy in April 2010, so utility data should begin that month.

Electricity Data:
- There are two electricity meters tied to FS13 in UMS, and are currently aggregated in ESPM. Separate the two meters and only provide the building's electricity use. 
- Georgia Power Company Account:2236329027 is for the new/current FS13 (431 Flat Shoals), while Georgia Power Company Account:6734836005 probably pertains for the old FS13 (across the street @ 447 Flat Shoals).

Gas Data:
- There are two gas meters tied to FS13 in UMS, and are currently aggregated in ESPM. Separate the two meters and only provide building gas use.  
- Gas meter #2980855 is for the new/current FS13 (431 Flat Shoals).

Water Data:
- There are two water meters tied to FS13 in UMS, and are currently aggregated in ESPM. Separate the two meters and only provide building water use.  
- The water meter should only include the use of water, but the cost of both water and sewer.",70,676008,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,77.299999999999997,77.3,,,2010,12/31/2017,1/1/2018
"176 10th Street, NE Unit 5909",541280, ,,Atlanta,,1,1,30309,Municipal,Fire Station,6500,3963177,Fire Station 15,"TO DO LIST (as of 10.20.2014):

1. Gross Floor Area could not be verified by drawings, as they are not the as-built version. Based on google maps engine, the facility is 9,069 sf and not 9,900. This must be verified by COA.

2. Water usage is 0 for 2009-2010, indicating a potential error. They also appear to be using almost 3 times as much water as a comparable fire station with similar number of occupants. 

3. Gas data must be vetted by COA comparing it to AGL's data.",100.6,654067,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,74.099999999999994,74.1,,,1986,12/31/2017,1/1/2018
1048 Joeseph E. Boone Boulevard,657349, ,,Atlanta,,1,1,30314,Municipal,Fire Station,5580,3963178,Fire Station 16,"Gross Floor Area must be changed to 8,905 sq. ft. (this includes hose tower).
FYI The sq ft of the building (no hose tower) is 8,227.

Although the meter number is correct, the address on the Goergia Power bill is incorrect.1048 SIMPSON ST NW UNIT 59016 1702B0210000.

Gas data has zero consumption for a few months (including last months), cost data is questionable, and the 2010 totals dont match UMS 2010 totals. 

Water data appears to be wrong ($10/CCF instead of ~$22/CCF)",143.2,798780,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,81.0,81,,,1963,12/31/2017,1/1/2018
1489 Ralph D Abernathy Blvd SW,653510, ,,Atlanta,,1,1,30310,Municipal,Fire Station,7468,3963179,Fire Station 17,Not Available,82.5,616316,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,61.200000000000003,61.2,,,1987,12/31/2017,1/1/2018
"309 Edgewood Ave, NE",307501, ,,Atlanta,,1,1,30312,Municipal,Fire Station,8964,3963180,Fire Station 4,Not Available,96.3,863315,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,98.900000000000006,98.9,,,2001,12/31/2017,1/1/2018
"2825 Campbellton Road, SW",447679, ,,Atlanta,,1,1,30311,Municipal,Fire Station,9090,3963181,Fire Station 5,Not Available,86.5,786440,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,77.599999999999994,77.6,,,1991,12/31/2017,1/1/2018
2911 Bankhead Highway NE,434280, ,,Atlanta,,1,1,30318,Municipal,Fire Station,8000,3963182,Fire Station 38,Not Available,157.5,1260000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,154.80000000000001,154.8,,,1972,12/31/2017,1/1/2018
"2349 Benjamin E. Mays Drive, SW",952975, ,,Atlanta,,1,1,30311,Municipal,Fire Station,5549,3963213,Fire Station 25,Not Available,137.3,761816,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,69.200000000000003,69.2,,,1949,12/31/2017,1/1/2018
3201 MLK Jr. Drive SW,478795, ,,Atlanta,,1,1,30311,Municipal,Municipal,137650,3965347,DPRCA-Adamsville Recreation Center,"Water data: registered meter, but no recorded activity.",89.3,12300000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,1237.5999999999999,1237.6,,,2004,12/31/2017,1/1/2018
211 Thornton Street,430189, ,,Atlanta,,1,1,30315,Municipal,Municipal,9496,3965348,DPRCA-Arthur Langford Park/Rec Ctr,Water data: there is only an irrigation account attached to this address and it shows virtually no usage.,46.3,439528,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,48.200000000000003,48.2,,,1965,12/31/2017,1/1/2018
98 William H. Borders Dr,772227, ,,Atlanta,,1,1,30312,Municipal,Municipal,9583,3965349,DPRCA-Butler Park-Rec Center,Not Available,33.1,317091,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,46.100000000000001,46.1,,,2005,12/31/2017,1/1/2018
400 Merrits Avenue,329881, ,,Atlanta,,1,1,30308,Municipal,Municipal,21780,3965350,DPRCA-Central Park-Rec Center ~ Gym,Gas data: There is no gas data from mid-2014 from either UMS or utility.,30.9,674078,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,103.09999999999999,103.1,,,1990,12/31/2017,1/1/2018
1340 Bolton Road,250521, ,,Atlanta,,1,1,30331,Municipal,Municipal,4697,3965351,DPRCA-English Park-Rec Center,Gas data: there is no gas data for Nov. 2014 from utility or UMS.,109,511913,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,72.799999999999997,72.8,,,1980,12/31/2017,1/1/2018
537 Park Avenue,629882, ,,Atlanta,,1,1,30312,Municipal,Municipal,21735,3965352,DPRCA-Grant Park-Rec Center ~ Gym,Not Available,45,979073,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,106.0,106,,,1975,12/31/2017,1/1/2018
"544 Angier Avenue, NE",642943, ,,Atlanta,,1,1,30308,Municipal,Municipal,5766,3965353,DPRCA-J. D. Sims Rec Center,Not Available,83.8,483263,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,63.0,63,,,2005,12/31/2017,1/1/2018
90 Boulevard NE,560718, ,,Atlanta,,1,1,30312,Municipal,Municipal,39862,3965354,DPRCA-M.L.K. Recreation Center,"Water data: no account at address
Gas data: There is no gas data at this address according to UMS and utility.",48.1,1920000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,293.10000000000002,293.1,,,2002,12/31/2017,1/1/2018
308 Peachtree Hills Avenue,502217, ,,Atlanta,,1,1,30305,Municipal,Municipal,8200,3965355,DPRCA-P.Tree Hills Rec Center ~ Gym,Not Available,96.1,787932,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,99.200000000000003,99.2,,,2002,12/31/2017,1/1/2018
950 Garibaldi Street,448011, ,,Atlanta,,1,1,30310,Municipal,Municipal,28000,3965356,DPRCA-Pittman Park~Rec Ctr Pool-Bath,Not Available,49.4,1380000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,177.0,177,,,1949,12/31/2017,1/1/2018
365 Cleveland Avenue,696280, ,,Atlanta,,1,1,30354,Municipal,Municipal,59200,3965357,DPRCA-Rosel Fann Community Ctr,Not Available,93.8,5550000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,627.79999999999995,627.8,,,1994,12/31/2017,1/1/2018
1835 Henry Thomas Drive,388824, ,,Atlanta,,1,1,30315,Municipal,Municipal,19500,3965358,DPRCA-Thomasville Heights-Rec Ctr,Water data: meter on site but no usage recorded.,35.2,685836,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,74.700000000000003,74.7,,,1976,12/31/2017,1/1/2018
241 Daniel Avenue,978702, ,,Atlanta,,1,1,30317,Municipal,Municipal,8100,3965359,DPRCA-Zaban Recreation Bldg.,"Water data: water account is listed as ""vacant"" with no service reported since Nov. 2010.",32.9,266646,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,26.199999999999999,26.2,,,1940,12/31/2017,1/1/2018
1530 Woodbine,764372, ,,Atlanta,,1,1,30317,Municipal,Municipal,1000,3965360,DPRCA-Coan Multi Purpose Field,"Gas data: data is for the rec center account with same name.

Water data: data is for the rec center account with the same name.",52.7,52694.9,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,8.0999999999999996,8.1,,,2002,12/31/2017,1/1/2018
"721 Phipps Blvd., NE",679040, ,,Atlanta,,1,1,30326,Municipal,Other - Utility,8459,3965487,Fire Station 3,We lease this fire station from Phipps Plaza and do not have any records of gas or electricity data--we do not include it in ACBI.,50.1,423641,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,64.799999999999997,64.8,,,1993,12/31/2017,1/1/2018
135 W. Wieuca Rd. NW,680465, ,,Atlanta,,21,1,30342,Municipal,Municipal,16479,3968930,Chastain Memorial Park,Water Data: There are no water meter accounts at this address according to DWM.,33.7,555859,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,85.0,85,,,1973,12/31/2017,1/1/2018
"1230 Peachtree St., NE",363281, ,78,Atlanta,78,1,1,30309,Office,Office,807933,3987187,Promenade [clean],Not Available,52.2,42200000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,6453.5,6453.5,8475,10.49,1990,12/31/2017,1/1/2018
395 Piedmont Road,205228, ,,Atlanta,,1,1,30308,Municipal,Municipal,231161,3987914,DPRCA-Atlanta Civic Center,"Water data: Two accounts for this address. One is for the Bureau of Cultural Affairs and is listed as a “non-metered account” with no data reported; the second is for the Bouisfeuillet Jones Civic 
Center and is shown as a grease management account with no data reported.",60.1,13900000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,1941.0999999999999,1941.1,,,2005,12/31/2017,1/1/2018
3300 North Inner Loop Circle,267694, ,,Atlanta,,1,1,30337,Municipal,Fire Station,14915,4006348,DOA - Fire Station 24,Gas data: No recorded usage for 11/2014 from gas company.,124.7,1860000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,284.60000000000002,284.6,,,2005,12/31/2017,1/1/2018
8500 N. Terminal Pkwy.,437518, ,,Atlanta,,0,1,30320,Municipal,Fire Station,12034,4006349,DOA - Fire Station 32,Gas data: there is no recorded gas data from Nov. 2014 from the gas company.,119.1,1430000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,219.30000000000001,219.3,,,2005,12/31/2017,1/1/2018
2150 Central Cargo Circle,197739, ,,Atlanta,,1,1,30354,Municipal,Fire Station,14245,4006350,DOA - Fire Station35,Gas data: There is no usage for Nov. 2014 as reported from the gas company.,142.6,2030000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,225.90000000000001,225.9,,,2005,12/31/2017,1/1/2018
1600 Pryor Rd.,179465, ,,Atlanta,,1,1,30315,Retail/ Entertainment,Fitness Center/Health Club/Gym,55245,4075357,VILLAGES AT CARVER,Not Available,101.2,5591252,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,722.79999999999995,722.8,959.8,17.37,2007,12/31/2017,1/1/2018
2220 Campbellton Rd.,885125, ,,Atlanta,,1,1,30311,Retail/ Entertainment,Fitness Center/Health Club/Gym,84351,4075361,ANDREW YOUNG/Southwest,Not Available,50.2,4240000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,423.0,423,2998.7,35.55,1950,12/31/2017,1/1/2018
2045 Peachtree Road NE,701148, ,35,Atlanta,35,1,1,30309,Office,Medical Office,72755,4113685,2045 Peachtree Road,Not Available,122,8880000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,1211.8,1211.8,1445.7,19.87,1957,12/31/2017,1/1/2018
3284 Northside Parkway,931696, ,87,Atlanta,87,1,1,30327,Office,Office,157748,4122864,Medici,Not Available,60.4,9530000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,1457.5999999999999,1457.6,1493.2,9.47,2006,12/31/2017,1/1/2018
387 Technology Circle,419991, ,,Atlanta,,1,1,30313,"Other, Mixed Use",Laboratory,134423,4137370,Technology Enterprise Park,Not Available,263,35300000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,4184.1000000000004,4184.1,7499.6,55.79,2008,12/31/2017,1/1/2018
3630 Peachtree Road,919650, ,83,Atlanta,83,1,1,30326,Office,Office,775720,4149320,3630 Peachtree,Not Available,54.4,42200000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,5973.6000000000004,5973.6,14296.5,18.43,2009,12/31/2017,1/1/2018
550 Peachtree St NE,Not Available, ,,Atlanta,,4,1,30308,Hospital/Medical,Hospital (General Medical & Surgical),1542740,4158897,Emory University Hospital Midtown,Not Available,,,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,No Values Given,,,,1914,12/31/2017,1/1/2018
104 Trinity Avenue,225080, ,29,Atlanta,29,1,1,30303,Municipal,Municipal,454030,4178967,OEAM-City Hall,"Water data: 2 non-metered accounts and one general services account with no usage or charges reported.

Gas data: there is no Nov. 2014 gas data from the gas company.",80.6,36600000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,5572.3000000000002,5572.3,,,2005,12/31/2017,1/1/2018
150 Garnett Street,871108, ,100,Atlanta,100,1,1,30303,Municipal,Courthouse,214560,4178968,OEAM-Municipal Court,"Gas Data: There is no gas data for this account according to UMS and utility as it is attached to the ""Corrections-Jail and Municipal Court"" account.

Electricity: Meters are attached to the ""Corrections-Jail and Municipal Court"" account.",0,0,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,No Values Given,0,,,2005,12/31/2017,1/1/2018
226 Peachtree Street,683972, ,50,Atlanta,50,1,1,30303,Municipal,Municipal,180932,4178970,OEAM-Public Safety Hqtrs Building,"Gas Data: There is a meter for this property, but no usage per the gas utility and UMS.",71,12800000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,1964.5999999999999,1964.6,,,2002,12/31/2017,1/1/2018
3493 Donald Lee Hollowell,482174, ,23,Atlanta,23,1,1,30331,Municipal,Municipal,184764,4178971,OEAM-Public Safety Annex,Gas Data: There is no Nov. 2014 gas data from the gas company.,59.4,11000000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,1206.2,1206.2,,,2002,12/31/2017,1/1/2018
3300 Peachtree Road,958602, ,28,Atlanta,28,1,1,30305,Lodging,Hotel,434925,4226784,Atlanta Grand Hyatt,Not Available,101.3,44100000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,4960.0,4960,25633,58.94,1990,12/31/2017,1/1/2018
3391 Peachtree Road NE,545634, ,15,Atlanta,15,1,1,30326,Lodging,Hotel,384355,4226800,Atlanta Buckhead Westin,Not Available,99.7,38300000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,4625.5,4625.5,13356,34.75,1991,12/31/2017,1/1/2018
46 Armstrong Street SE,Not Available, ,,Atlanta,,1,1,30303,College/University & Residence Hall/Dormitory,College/University,51422,4228036,1550 - Woodruff Extension,"ABBC

Steam usage is based on a flat monthly estimate. Purchased from Grady Hospital.",95,4890000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,591.5,591.5,4950,96.26,1965,12/31/2017,1/1/2018
84 Walton,809476, ,51,Atlanta,51,1,1,30303,Office,Office,131772,4258811,75 Marietta / 84 Walton,Not Available,54,7120000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,1088.9000000000001,1088.9,1977.9,15.01,1907,12/31/2017,1/1/2018
49 Jessie Hill Jr. Drive SE,783599, ,58,Atlanta,58,1,1,30303,Office,Office,83315,4274781,1260 - Faculty Office at Grady,"Confirm building is all electric. 12/11/2014
Water is provided by Grady and is not metered. 12/11/2014",62,5160000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,789.89999999999998,789.9,,,2001,12/31/2017,1/1/2018
62 Armstrong Street,Not Available, ,,Atlanta,,1,1,30303,College/University & Residence Hall/Dormitory,College/University,27430,4274822,1300 - Steiner Building,Steam is not metered. Data is for billing purposes only. 12/11/2014,94.4,2590000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,306.19999999999999,306.2,314,11.45,1975,12/31/2017,1/1/2018
72 Marietta St NE,606709, ,50,Atlanta,50,1,1,30303,Municipal,Municipal,519082,4275473,OEAM-Old AJC Bldg-130 Upper Wall St.,Water Data: No account at address.,58.2,30200000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,4562.8999999999996,4562.9,,,2010,12/31/2017,1/1/2018
407 Ashwood Ave. S W,952312, ,,Atlanta,,1,1,30315,"Other, Mixed Use",Other,36125,4278147,Fire Training Facility,Not Available,41,1480000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,135.40000000000001,135.4,,,2005,12/31/2017,1/1/2018
250 Georgia Avenue,250555, ,,Atlanta,,1,1,30312,Municipal,Municipal,47521,4278148,OEAM-GA. Hill Neighborhood Ctr,Water data: no account at address.,61.2,2910000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,382.0,382,,,2005,12/31/2017,1/1/2018
209 Edgewood Avenue,607312, ,,Atlanta,,1,1,30303,Municipal,Municipal,45947,4278149,DOA - Maint Fuel Island Pumps,"Water data is attached to the Municipal Market and is only available beginning March 2014.

Gas Data: There is no gas data attached to this account according to UMS.",0.2,9355.7,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,1.3999999999999999,1.4,,,2005,12/31/2017,1/1/2018
2640 Jonesboro Road,224220, ,6,Atlanta,6,1,1,30354,Municipal,Wastewater Treatment Plant,28848,4278151,WW-South River Plant (Treatment),Not Available,3015.9,87000000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,13212.799999999999,13212.8,,,2005,12/31/2017,1/1/2018
360 Englewood Avenue,529045, ,7,Atlanta,7,1,1,30315,Storage & Distribution,Non-Refrigerated Warehouse,33276,4278152,WW-Warehouse-Office-Englewood Ave,Gas data: there is no Nov. 2014 gas data according to utility.,66.7,2220000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,288.80000000000001,288.8,,,2005,12/31/2017,1/1/2018
200 Forsyth Street,755834, ,,Atlanta,,1,1,30303,Storage & Distribution,Non-Refrigerated Warehouse,93750,4278155,DOP-225 Forsyth St. Parking Facility,"Gas data: There is no gas data for this account according to UMS.

Water data: Both @ 225 Forsyth. Nothing @ 200- No data for acct.",,,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,No Values Given,,,,2010,12/31/2017,1/1/2018
142 Peachtree Street NE,277315, ,,Atlanta,,1,1,30303,Municipal,Municipal,33373,4278156,DPRCA-Margaret Mitchell Square,"Water Data: no account at address

Gas data: There is no gas account at this address according to UMS and utility.",,,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,No Values Given,0,,,2014,12/31/2017,1/1/2018
1220 Toffie Tr.,403465, ,,Atlanta,,1,1,30320,Municipal,Municipal,253962,4278157,DOA - Airborne Express - Nrth Cargo,Not Available,,,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,No Values Given,,,,2005,12/31/2017,1/1/2018
384 Woodward Way,991792, ,,Atlanta,,1,1,30305,Municipal,Municipal,11234,4293076,DPRCA-Atlanta Memorial Park,Gas data: There is no gas data for this site from either the gas company or UMS.,,,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,No Values Given,,,,1932,12/31/2017,1/1/2018
1320 Monroe Drive,221822, ,,Atlanta,,1,1,30306,"Other, Mixed Use",Other,38160,4293077,WW-Clear Creek CSO,"Data notes: According to UMS and gas utility, there is no data for this address.",,,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,No Values Given,,,,2005,12/31/2017,1/1/2018
780 Custer Avenue,104653, ,,Atlanta,,1,1,30315,"Other, Mixed Use",Other,35424,4293078,WW-Custer Avenue CSO,"Gas data: according to UMS and gas utility, there is no gas data for this address.",30.6,1080000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,165.69999999999999,165.7,,,2006,12/31/2017,1/1/2018
800 Cherokee Avenue,579204, ,,Atlanta,,1,1,30315,Municipal,Municipal,29554,4293084,DPRCA-Grant Park-Atlanta Cyclorama,This property may no longer be owned by the City.,,,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,No Values Given,0,,,1925,12/31/2017,1/1/2018
1510  Key Road,176345, ,,Atlanta,,1,1,30316,"Other, Mixed Use",Other,29000,4293085,WW-Intrenchment Crk Plant-Treatment-,"Gas data: according to UMS and gas utility, there is no gas data for this account.",473.8,13700000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,2101.8000000000002,2101.8,,,2005,12/31/2017,1/1/2018
"70 Boulevard, NE",784078, ,,Atlanta,,1,1,30312,Municipal,Municipal,39700,4293088,DPRCA-M.L.K. North Natatorium,"Gas data: There is no gas data from utility for this address.

Water data: there is no water data for this address.

This building is currently owned by the City but is shut down/not in use.",,,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,No Values Given,0,,,2005,12/31/2017,1/1/2018
1139 North Avenue,272066, ,,Atlanta,,1,1,30307,Municipal,Municipal,18944,4293089,DPRCA-Maddox Park-Greenhouse,"Water data: no account at address.

Gas data: There is no data for Nov. 2014 from gas company.",126,2390000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,184.19999999999999,184.2,,,1987,12/31/2017,1/1/2018
1290 Hemphill Avenue,152396, ,,Atlanta,,1,1,30318,"Other, Mixed Use",Other,32484,4293090,Water-Maintenance Bldg.-Hemphill Ave,"Gas data: according to gas utility, there is no Nov. 2014 data for this account.

Water data: no account at address.",1.9,60700,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,3.2000000000000002,3.2,,,1950,12/31/2017,1/1/2018
400 Manford Street,181885, ,,Atlanta,,1,1,30310,"Other, Mixed Use",Other,12920,4293091,WW-McDaniel Street -CSO,"Gas data: according to UMS and gas utility, there is no gas data for this address.",0,0,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,No Values Given,0,,,1980,12/31/2017,1/1/2018
2440 Bolton Road,969610, ,1,Atlanta,1,1,1,30138,Municipal,Wastewater Treatment Plant,63548,4293092,WW-R. M. Clayton Plant (Treatment),Water data: This account show sporadic recording of usage.,5771.3,367000000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,49393.400000000001,49393.4,,,1972,12/31/2017,1/1/2018
1370 Howell Mill Road,250408, ,,Atlanta,,1,1,30318,"Other, Mixed Use",Other,20255,4293093,PW Motor-Svc-Bldg.-Howell Mill Rd,Water data: all accounts at address are either inactive or shut off.,175.5,3550000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,300.69999999999999,300.7,,,1987,12/31/2017,1/1/2018
815 Old Flat Shoals Road,434634, ,,Atlanta,,1,1,30312,"Other, Mixed Use",Other,66019,4293094,Public Works-Motor Transport,Water data: all meters are shut off or inactive.,50.1,3310000,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,226.19999999999999,226.2,,,1975,12/31/2017,1/1/2018
155 Loring Drive,480114, ,,Atlanta,,1,1,30329,"Other, Mixed Use",Other,27416,4293095,WW-Tanyard Creek CSO,Gas data: there is no gas data for this address according to UMS and gas utility.,23.2,636161,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,97.299999999999997,97.3,,,2005,12/31/2017,1/1/2018
120 Claire Drive,927699, ,,Atlanta,,1,1,30315,"Other, Mixed Use",Other,30500,4293096,PW ST. OPS-Traffic Signals-Flashers,Not Available,5.4,165011,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,25.199999999999999,25.2,,,2005,12/31/2017,1/1/2018
2532 Bolton Road,544461, ,,Atlanta,,1,1,30318,Municipal,Drinking Water Treatment & Distribution,32172,4293097,Water-Treatment Plant-Chattahoochee,"Water data:no account at address.

Gas data: there is no gas data at this account address.",4267.1,137282017,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,21000.400000000001,21000.4,,,1967,12/31/2017,1/1/2018
1350 Howell Mill  Road,228990, ,,Atlanta,,1,1,30318,"Other, Mixed Use",Other,31089,4293099,Water-Treat.Plt-Hemphill-Howell Mill,"Gas data: there is no Nov. 2014 gas data for this property, according to gas utility.",22.2,690359,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,90.700000000000003,90.7,,,1929,12/31/2017,1/1/2018
805 Selig Drive,497695, ,,Atlanta,,1,1,30336,Municipal,Drinking Water Treatment & Distribution,48884,4293100,WW-Utoy-Creek Plant (Treatment),Gas data: there is no reported gas data from  Nov. 2014 from the utility.,1703,83250467,Georgia,Data Request_Atlanta 2018 Transparency Report (34).xlsx/2018 CEP,10920.0,10920,,,2005,12/31/2017,1/1/2018
