Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
Sears Crescent Building,Compliant,Office,100 City Hall Plaza ,02108,50300,71.6,71,,Office,1816,240.8,4.8,3602443.6,0.582285853,0.417738258,,15.6,,,,302897000,"2016, 2017, 2018, "
100 Clarendon Street Garage,Compliant,Other,100 Clarendon Street,02116,843168,18.2,,,"Bank Branch, Medical Office, Office, Other",1969,1168.9,1.4,15387702.2,0.969798891,0.030062124,0.000179117,1.94,,"This entire property is a garage, with the exception of two retail tenants on Dartmouth Street (Eastern Bank and Harvard Vanguard Medical Associates). The garage office is staffed 24x7 and includes a small office for Avis Rental Car.",,401082001,"2014, 2015, 2016, 2017, 2018, "
100 East Newton Street (635 Albany) G Building,Compliant,Medical Office,100 East Newton Street,02118,89406,254,3,,Medical Office,1969,1581.5,17.7,22706014.9,0.380865025,,0.61915073,39.93,,,,801295000,"2014, 2015, 2016, 2017, 2018, "
100 Federal St.,Compliant,Office,100 Federal St.,02110,1478145,63.9,92,"2017, 2016, 2015, 2013, 2009","Data Center, Office, Parking",1970,6832.4,4.6,94394221.1,0.582427384,,0.41759672,7.37,,,,304410000,"2014, 2015, 2016, 2017, 2018, "
100 Franklin Street,Compliant,Office,100 Franklin Street,02110,124055,55.4,86,,"Bank Branch, Office",1908,488.2,3.9,6878527.2,0.758191838,0.241839548,,7.04,,,,304666000,"2014, 2015, 2016, 2017, 2018, "
Fulton Court Condominium Trust,Compliant,Multifamily Housing,100 Fulton Street,02109,100800,30.4,,,Multifamily Housing,1990,234.9,2.3,3064153.6,1.000041341,,,20.18,,,,303478000,"2015, 2016, 2017, 2018, "
100 Guest Street,Compliant,Office,100 Guest Street ,02135,296176,95.6,60,,"Office, Other - Restaurant/Bar, Parking, Retail Store",2015,1884.3,6.4,28317695.4,0.615283713,0.384741753,,3.9,,,,2201905030,"2018, "
MATTAHUNT,Municipal ,K-12 School,100 Hebron St.,02126,171035,97.1,53,,"K-12 School, Swimming Pool",1977,946.3,5.5,16609246,0.163846235,0.836160541,,Not Available,,,,1802340000,"2016, 2017, 2018, "
100 High Street,Compliant,Office,100 High Street,02110,550326,66,84,"2018, 2017, 2014, 2012, 2011, 2010","Data Center, Office, Parking",1988,2786.8,5.1,36347355,1.000041387,,,10.32,,,,304408000,"2014, 2016, 2017, 2018, "
100 Holton St,Compliant,Office,100 Holton St,02135,115577,23.4,100,,Office,1975,145.6,1.3,2708206.1,0.027220594,0.97278056,,3.04,,,,2200966000,"2015, 2016, 2017, 2018, "
Copley Place,Compliant,Office,100 Huntington Avenue,02116,1232000,93.8,,,"Enclosed Mall, Office, Parking",1983,8766.4,7.1,115554757.8,0.965758824,0.034281145,,19.91,,we provide chilled water to the Copley Westin Hotel and Copley Marriott Hotels . .  and electric and water consumption relates to those users NOT @ 100 HUntington Ave. ,,400600020,"2014, 2015, 2016, 2017, 2018, "
TD Garden,Compliant,Indoor Arena,100 Legends Way,02114,755000,106.3,,,"Indoor Arena, Parking",1995,5540.5,7.3,80232133.7,0.676754594,0.323273416,,25.15,,,,301925100,"2014, 2015, 2016, 2017, 2018, "
Islamic Society of Boston Cultural Center,Compliant,Worship Facility,100 Malcolm X Blvd,02120,65000,2658.7,1,,"K-12 School, Worship Facility",2008,9212.1,141.7,172813851.4,0.006245614,0.991854661,,20.67,96232,,,903411010,"2017, 2018, "
THOMPSON,Municipal ,K-12 School,100 Maxwell St.,02124,75508,57.4,91,,K-12 School,1892,250.4,3.3,4332253.1,0.199331859,0.800676403,,Not Available,,,,1702514000,"2016, 2017, 2018, "
100 North Washington Street,Compliant,Not Available,100 North Washington Street,02114,Not Available,Not Available,,,Other,1985,0,Not Available,Not Available,,,,Not Available,,,,301512000,"2015, 2016, 2018, "
100 Northern Avenue,Compliant,Office,100 Northern Avenue,02210,572998,67.3,88,,"Office, Parking, Restaurant",2016,2598,4.5,38569636.3,0.604719234,0.395305793,,10.34,,,,602671039,"2018, "
Morville House: 100 Norway Street,Compliant,Multifamily Housing,100 Norway Street,02115,152987,70.8,74,,Multifamily Housing,1972,636.2,4.2,10824114.5,0.24047895,0.759530994,,34.55,,,,401452000,"2015, 2016, 2017, 2018, "
Back of the Hill Apartments L.P.,Compliant,Multifamily Housing,100 South Huntington Avenue ,02130,119531,53.1,93,,Multifamily Housing,1978,381,3.2,6349416.4,0.292456229,0.707555891,,34.54,,,,1001490000,"2015, 2016, 2017, 2018, "
W Hotel & Residences Boston,Compliant,Mixed Use Property,100 Stuart Street,02116,395858,69.7,73,,"Hotel, Multifamily Housing, Parking",2009,1917.8,4.8,27596150.1,0.424508951,0.095248684,0.480259933,26.2,,,,500075024,"2015, 2016, 2017, 2018, "
100 Summer Street,Compliant,Office,100 Summer Street,02110,1113465,80.7,72,"2016, 2015, 2014, 2013, 2012, 2011","Fast Food Restaurant, Office, Other, Parking",1974,6548,5.9,89806867.7,0.634052427,,0.365973815,11.77,,"This building is a large office building in downtown Boston.  It represents a single building only.  

The square footages used in previous time periods are inconsistent.  The current occupancy and vacancy numbers are a reasonable representation of the those in the past, and have been confirmed to be accurate over  the performance period.",,304220000,"2014, 2015, 2016, 2017, 2018, "
Viviendas: 100 West Dedham,Compliant,Multifamily Housing,100 West Dedham,02118,63968,87.5,45,,Multifamily Housing,2001,332.7,5.2,5595948.2,0.268869555,0.731141548,,57.89,,,,900080000,"2015, 2016, 2017, 2018, "
10500002 - Boston,Compliant,Distribution Center,100 Widett Circle,02118,212584,43.7,22,,Distribution Center,1969,711.9,3.3,9285689.8,1.000041396,,,15.1,,0600006020 - Boston Assessing Parcel ID,,600006020,"2015, 2018, "
1000 Washington Boston Owner,Compliant,Office,1000 Washington Street,02118,242240,85.1,64,,Office,1900,1410.7,5.8,20603447.3,0.651775536,0.348251435,,1461.69,,,,306234010,"2014, 2016, 2017, 2018, "
"100 BBP, LLC",Compliant,Non-Refrigerated Warehouse,100-170 Meadow Road ,02136,198836,61.7,8,,Non-Refrigerated Warehouse,1958,928.5,4.7,12277356.9,0.955775732,0.044263827,,0.02,,Some of the meter numbers do not correspond with what is listed on my invoices ,,1809650040,"2016, 2017, 2018, "
101 Arch St,Compliant,Office,101 Arch Street,02110,473896,66.4,88,"2018, 2017, 2016, 2015, 2013, 2012, 2011, 2010, 2009","Fast Food Restaurant, Food Service, Office, Parking, Restaurant",1988,2378.5,5,31466144,0.954152667,0.045886817,,12.07,,,,304597000,"2014, 2015, 2016, 2017, 2018, "
Avenir - 29807,Compliant,Multifamily Housing,101 Canal St.,02114,335514,48.8,82,,"Multifamily Housing, Parking, Retail Store",2009,1071.2,3.2,16382579.1,0.521015068,0.479006495,,29.74,,2014-1  Gross floor area reflects Asssessor's living area less enclosed parking garage.,,301570001,"2015, 2016, 2017, 2018, "
Hyatt Boston Harbor,Voluntary,Hotel,101 Harborside Drive,02128,210000,112.2,26,,"Hotel, Parking",1992,1605,7.6,23562201.5,0.63682455,0.363201801,,79792.2,,,,104126000,"2014, 2018, "
101 Huntington Ave,Compliant,Office,101 Huntington Ave,02199,585345,69.1,92,"2017, 2016, 2015, 2014, 2012, 2011, 2010, 2009, 2008","Office, Parking",1972,2889.7,4.9,40436038.9,0.501428987,0.006414843,0.492176923,10.85,,,,401037101,"2014, 2015, 2016, 2017, 2018, "
Beryl Gardens,Compliant,Multifamily Housing,101 Madison Park Court,02120,43803,47.7,97,,Multifamily Housing,1998,122.9,2.8,2087939.6,0.243810129,0.756199996,,39.41,,,,903082100,"2017, 2018, "
101 Merrimac Street,Compliant,Office,101 Merrimac Street,02114,153905,66.4,82,,"Office, Parking",1990,738.4,4.8,10215500.1,0.813578644,0.186455018,,12.1,,,,301675000,"2014, 2015, 2016, 2017, 2018, "
101 Seaport Boulevard,Compliant,Office,101 Seaport Boulevard,02210,620642,49.6,98,2017,"Office, Parking",2015,2142.6,3.5,30768010.8,0.701445624,0.298583411,,12.15,,,,602643020,"2017, 2018, "
The Roxbury Latin School,Compliant,K-12 School,101 St. Theresa Avenue,02132,220700,71.4,46,,K-12 School,1928,994.5,4.5,15751768.4,0.425453615,0.574563988,,20.84,,"The square footage has been updated due to the addition of an indoor athletic facility as of January 1, 2017.",,2003263000,"2015, 2016, 2017, 2018, "
101 Summer Street,Compliant,Office,101 Summer Street,02110,48905,78,53,,Office,1899,276.9,5.7,3815228.8,0.826728703,0.173305466,,27.61,,,,304578000 304577000                    ,"2018, "
101 Tremont,Compliant,Office,101 Tremont Street,02108,80344,65.2,,,Office,1901,337.8,4.2,5235003.8,0.484585876,0.515434156,,Not Available,,,,304717000,"2015, 2016, 2017, 2018, "
Morgan Memorial Goodwill Inc,Compliant,Retail Store,1010 Harrison Ave,02119,87000,41.4,83,,"Parking, Retail Store",1986,274.1,3.2,3604247.6,0.973908186,0.026132167,,5.71,,,,802375000,"2014, 2015, 2016, 2017, 2018, "
1010 Massachusetts Ave,Municipal ,Office,1010 Massachusetts Ave,02118,195000,40.6,98,,Office,2000,543.1,2.8,7922088.4,0.655450966,0.344576175,,Not Available,,,,801023000,"2016, 2017, 2018, "
10-18 Buswell Street,Compliant,Multifamily Housing,10-18 Buswell Street,02215,66456,71.2,72,,Multifamily Housing,1924,266.9,4,4729620.4,0.151606189,0.848400089,,63.11,,,,2100201000,"2014, 2015, 2016, 2017, 2018, "
1019 Commonwealth Avenue,Compliant,Residence Hall/Dormitory,1019 Commonwealth Avenue,02215,77750,65.5,75,,Residence Hall/Dormitory,1977,319.2,4.1,5091665.6,0.438707463,0.561310691,,34.67,,,,2100468000,"2014, 2015, 2016, 2017, 2018, "
102-108 Gainsborough Street,Compliant,Multifamily Housing,102 Gainsborough Street,02115,55280,2.7,100,,Multifamily Housing,1983,11.6,0.2,151247.1,1.000041748,,,38.12,,,,401645000,"2018, "
102-108 Columbia Rd,Compliant,Multifamily Housing,102-108 Columbia Rd,02121,34821,79.7,56,,Multifamily Housing,1920,160,4.6,2774430.8,0.193976081,0.806031979,,70.57,,,,1400833000,"2017, 2018, "
LBB Apt - 102-112 Talbot,Compliant,Multifamily Housing,102-112 Talbot Avenue,02124,24662,82.1,,,Multifamily Housing,1920,121.7,4.9,2024851.5,0.297435872,0.702576451,,48.38,,"102 Talbot Ave, 20 Fowler St, 4 Wellington Hills St",,1402195000,"2016, 2017, 2018, "
10-24 School Street,Compliant,Office,10-24 School Street,02108,134789,66.2,90,"2018, 2017, 2016","Office, Retail Store",1925,643.9,4.8,8920516.9,0.562645694,3.36303E-05,0.437343962,7.67,,,,304718000,"2015, 2016, 2017, 2018, "
0413 Hyde Park,Compliant,Supermarket/Grocery Store,1025 Truman Hwy,02136,38890,219.8,74,,Supermarket/Grocery Store,2001,563.3,14.5,8549516.3,0.542354439,0.457668021,,99.83,,,,1809855010,"2015, 2016, 2017, 2018, "
103 CLAYTON STREET,Compliant,Office,103 CLAYTON STREET,02122,40696,42.6,95,,Office,1912,114.6,2.8,1731726.6,0.553705414,0.446317548,,5.21,,,,1600579000,"2016, 2017, 2018, "
103 Gainsborough St,Compliant,Multifamily Housing,103 Gainsborough St,02115,37120,1.8,100,,Multifamily Housing,1984,5.2,0.1,67709.1,1.000041404,,,3211.19,,,,401611000,"2018, "
The Anchorage Apartments,Compliant,Multifamily Housing,103 Ninth Street,02129,200000,30.5,98,,Multifamily Housing,1978,359.5,1.8,6100701.2,0.246801425,0.753208795,,11.34,,,,203515525,"2018, "
Roxse Homes (1030 -1070 TREMONT ST),Compliant,Multifamily Housing,1030 -1070 TREMONT ST,02120,124719,96.8,93,,Multifamily Housing,1900,704.5,5.6,12072838,0.222322932,0.77768627,,79.57,,,,902000010,"2015, 2016, 2017, 2018, "
Bricklayers Bulding 104 LLC,Compliant,Other - Lodging/Residential,104 First Avenue,02129,80038,15.1,,,"Other - Lodging/Residential, Parking",1996,92.4,1.2,1204836.7,1.000041401,,,15.77,,,,203515760,"2017, 2018, "
Mission Main III - 104 Ward St,Compliant,Multifamily Housing,104 Ward St,02120,68254,40.3,99,,"Multifamily Housing, Parking",2000,161.3,2.4,2751184.6,0.233947324,0.766062372,,39.73,,This property profile consists of 2 buildings that share a gas meter.,,1000001035,"2018, "
Fenway Views Condominium,Compliant,Multifamily Housing,"104, 106 &108 Peterborough Street, 51-67 Kilmarnock Street",02215,43281,103.4,31,,"Multifamily Housing, Parking",1990,263.8,6.1,4474129.9,0.248467395,0.751542858,,76.33,,,,2100033010,"2015, 2016, 2017, 2018, "
1047 Commonwealth Avenue,Compliant,Residence Hall/Dormitory,1047 Commonwealth Avenue,02215,92355,Not Available,,,Residence Hall/Dormitory,2016,0,0,Not Available,,,,Not Available,,,,2100472000,"2018, "
IRVING,Municipal ,K-12 School,105 Cummins HWY,02131,110370,58.2,91,,K-12 School,1936,364.8,3.3,6427408.1,0.15437721,0.845629194,,Not Available,,,,1904029000,"2016, 2017, 2018, "
105 Magazine St,Municipal ,Other,105 Magazine St,02119,5150,97.2,,,Other,2000,28,5.4,500338.2,0.11955837,0.88044643,,Not Available,,,,800487000,"2016, 2017, 2018, "
10-50 Old Colony Ave.,Compliant,Office,10-50 Old Colony Ave.,02127,75000,Not Available,,,Office,1924,Not Available,Not Available,Not Available,,,,Not Available,,,,600324000,"2014, 2016, 2017, 2018, "
Basilica Leasehold Condominium Trust: Basilica Condominium,Compliant,Multifamily Housing,106 13th Street,02129,280000,33.1,96,,Multifamily Housing,1986,605.2,2.2,9265375.3,0.517864378,0.482157044,,10.87,,SIXTEENTH ST on CBL,,203510175,"2015, 2016, 2017, 2018, "
TAYLOR,Municipal ,K-12 School,1060 Morton St.,02126,51389,50.4,97,,K-12 School,1931,147.9,2.9,2587531.3,0.172463179,0.827543941,,Not Available,,,,1703440000,"2016, 2017, 2018, "
07588-Allston,Compliant,Supermarket/Grocery Store,1065 Commonwealth Ave,02215,64485,293.2,28,,Supermarket/Grocery Store,1999,1321.1,20.5,18907701.1,0.711348124,0.288681308,,19.28,,,,2100475000,"2014, 2015, 2016, 2017, 2018, "
Vanderbilt Hall,Compliant,Residence Hall/Dormitory,107 Avenue Louis Pasteur,02115,165820,98.7,56,,Residence Hall/Dormitory,1927,1106.8,6.7,16361946.2,0.29609241,,0.572929399,25.2,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,401850000,"2014, 2015, 2016, 2017, 2018, "
172-The Boxer (Bulfinch) Hotel,Compliant,Hotel,107 Merrimac Street,02114,47420,110.3,63,,Hotel,2005,319.9,6.7,5232299.7,0.34026592,0.659748143,,54.98,,,,301676000,"2015, 2016, 2017, 2018, "
Queensbury Condominiums,Compliant,Multifamily Housing,107-111 Jersey St,02215,37148,58.3,90,,Multifamily Housing,1910,125.2,3.4,2166962.7,0.197548608,0.80245959,,34.89,,,,504290000,"2017, 2018, "
Forestvale Apartments,Compliant,Multifamily Housing,"107-113 Forest Hills Street, 115-121 Forest Hills Street, 123-127 Forest Hills Street",02130,98205,78,90,,Multifamily Housing,1964,423.8,4.3,7660171.7,0.094054734,0.905949131,,8284.38,,,,1102906000,"2015, 2016, 2017, 2018, "
Atrium On Commonwealth,Compliant,Multifamily Housing,1079 Commonwealth Ave.,02215,278852,34.4,,,"Multifamily Housing, Parking, Retail Store",1919,718.7,2.6,9590651.1,1.000041384,,,35.43,,,,2100477000,"2018, "
EEC MATTAPAN,Municipal ,K-12 School,108 Babson St.,02126,36820,71.3,68,,K-12 School,1998,162.3,4.4,2626717.8,0.368813807,0.631201392,,Not Available,,,,1800513000,"2016, 2017, 2018, "
Special Operations Fire,Municipal ,Fire Station,108 Holton Street,02135,11500,343.4,,,Fire Station,2000,235.8,20.5,3949212.6,0.280271047,0.719740501,,Not Available,,,,2200965000,"2016, 2017, 2018, "
Fenway Views Condominiums: 108 Peterborough,Compliant,Multifamily Housing,108 Peterborough St,02215,60085,58.1,99,,Multifamily Housing,1990,195.6,3.3,3490683.7,0.124168831,0.875836316,,54.66,,,,2100033010,"2015, 2016, 2017, 2018, "
AMS Realty Trust,Compliant,Multifamily Housing,1082 Commonwealth Avenue,02215,25737,78.2,88,,"Multifamily Housing, Restaurant",1920,116.2,4.5,2013010.1,0.195938665,0.804069484,,34.13,,,,2101597000,"2017, 2018, "
109 Brookline Ave. - Ste # 602030,Compliant,Office,109 BROOKLINE AVE,02215,285556,217.3,13,,"Office, Parking",1990,4619.5,16.2,62047053,0.905810611,0.094226879,,7.12,,,,2100071000,"2014, 2015, 2016, 2017, 2018, "
109 Boylston Street Condominium,Compliant,Multifamily Housing,1091 Boylston,02215,19161,158.6,36,,Multifamily Housing,1920,166.6,8.7,3038963.5,0.071989306,0.928013684,,103.69,,,,504162000,"2017, 2018, "
Oak Square Mainsail LLC,Compliant,Multifamily Housing,109-111 Tremont Street,02135,62699,83.9,36,,Multifamily Housing,1972,311.3,5,5257380,0.259128396,0.740882305,,42.02,,,,2203712010,"2016, 2017, 2018, "
Road Scholar,Compliant,Office,11 Avenue de Lafayette,02111,60000,48.6,87,,Office,1892,223.4,3.7,2916124.5,0.997589338,0.002451902,,12.82,,Tax Parcel 304511000 ,,304511000,"2015, 2016, 2017, 2018, "
11 Beacon,Compliant,Office,11 Beacon Street,02110,146388,72.6,91,,"Office, Other - Restaurant/Bar",1911,656.4,4.5,10627319.6,0.367202759,0.632812445,,8.65,,,,302804000,"2014, 2015, 2016, 2017, 2018, "
Lindsay Place Condo Trust,Compliant,Multifamily Housing,11 Bowdoin St,02114,51000,88.7,12,,Multifamily Housing,1999,270.5,5.3,4523371.2,0.283621275,0.716390484,,22.26,,,,300028000,"2016, 2017, 2018, "
CLEVELAND OLD,Municipal ,K-12 School,11 Charles St.,02122,80472,98,49,,K-12 School,1925,453.7,5.6,7888144.7,0.186672387,0.813335358,,Not Available,,,,1501543000,"2016, 2017, 2018, "
Dona Betsaida Gutierrez Cooperative: Centre-Creighton Apartments,Compliant,Multifamily Housing,11 Creighton St,02130,35503,81.4,16,,Multifamily Housing,2010,184.8,5.2,2890787.8,0.458621367,0.541397543,,99.44,,Ground floor retail space (7078 sq. ft.) taken out of gross building square footage to get rid of areas not covered by utility accounts.,,1002038024,"2017, 2018, "
Franklin Square Apartments,Compliant,Multifamily Housing,11 East Newton Street,02118,193816,78,73,,Multifamily Housing,1867,857.3,4.4,15115872.9,0.152912679,0.847093654,,39.28,,,,801385002,"2015, 2016, 2017, 2018, "
11 Elkins,Compliant,Office,11 Elkins Street,02127,55000,20.5,100,,Office,1900,84.8,1.5,1129092.5,0.935385112,0.064653692,,3.57,,,,603405060,"2014, 2015, 2016, 2017, 2018, "
Vertex TWO,Compliant,Laboratory,11 Fan Pier Blvd.,02210,516693,171.1,,,Laboratory,2013,5794.8,11.2,88407592.9,0.52773827,0.472283572,,40.75,,"Parcel B - Vertex Global Headquarters
LEED project ID  1000021955",,602671017,"2015, 2016, 2017, 2018, "
Thomson Portfolio - 11 Farnsworth St - Parcel 06-02658-001,Compliant,Financial Office,11 Farnsworth Street,02210,45280,74.5,84,"2017, 2015",Financial Office,1900,256.3,5.7,3373002.9,0.718302135,,,8.82,,,,602658001,"2015, 2016, 2017, 2018, "
Boston Collegiate Charter School,Compliant,College/University,11 Mayhew Street,02125,40100,56.7,,,College/University,1900,169.6,4.2,2274399.9,0.296015302,0.017841324,,1.09,,,,702972010,"2016, 2017, 2018, "
"HTA - St. Elizabeth's MOB 1, LLC",Compliant,Medical Office,11 Nevins Street,02135,50676,46.9,75,,Medical Office,1988,182.3,3.6,2377479.4,1.000041431,,,Not Available,,,,2101835200,"2015, 2016, 2017, 2018, "
Bobson Realty,Compliant,Multifamily Housing,11 Queensbury St,02215,552721,0.4,,,Multifamily Housing,1930,12.6,0,208418.9,0.318693615,0.681320164,,3.28,,"Estimated Square footage was used .Estimated Year built was used.

Tax Parcel 0504241000",,504241000,"2016, 2017, 2018, "
11 Royce,Compliant,Multifamily Housing,11 Royce Rd ,02134,37608,Not Available,,,Multifamily Housing,1940,Not Available,Not Available,Not Available,,,,Not Available,,,,2101546000,"2017, 2018, "
11 Tetlow Street - Tetlow Realty Associates,Compliant,Multifamily Housing,11 Tetlow Street,02115,21779,1.8,,,Multifamily Housing,1918,2.1,0.1,39771.9,,0.999998994,,10.3,,,,401834000,"2017, 2018, "
