BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT
12729 W RIVERSIDE DR,4.38E+11,113.6,COMPLIED,-39.5,-39.5,99,No,Not Available,Not Available,AUM,65990,Not Available,Not Available,1,95,Not Available,91607,2017,Multifamily Housing,25.6,60.3,2022.7,26.1,60.9,2012
3711 S GRAND AVE,4.77E+11,236.8,COMPLIED,-40.2,-40.2,Not Available,No,Not Available,Not Available,University of Southern California,62301,948.6,15.23,1,100,Not Available,90007,2017,College/University,50.2,157.1,948.6,50.2,157.1,2012
10300 WILSHIRE BLVD,4.33E+11,227.5,COMPLIED,42.3,42.3,8,No,Not Available,Not Available,"Vert Energy Group, Inc.",65130,Not Available,Not Available,1,100,Not Available,90024,2017,Multifamily Housing,58.2,101.8,2310,60.3,104,1956
511 S PARK VIEW ST,4.78E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,J.K.Residential Services Inc,88500,Not Available,Not Available,1,95,Not Available,90057,2017,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,1987
1100 N MAIN ST,4.91E+11,1166.1,COMPLIED,-10.1,-10.1,Not Available,No,Not Available,Not Available,"LAX-C, Inc.",105518,Not Available,Not Available,5,100,Not Available,90012,2017,Supermarket/Grocery Store,152.4,431.8,2772.1,151,426.7,1947
11645 WILSHIRE BLVD,4.22E+11,511.6,COMPLIED,46.1,46.1,13,No,Not Available,Not Available,"Boulevard Investment Group, Inc.",75298,Not Available,Not Available,1,95,Not Available,90025,2017,Medical Office,91.1,275.7,Not Available,Not Available,Not Available,1978
265 S LAKE ST,4.79E+11,221.8,COMPLIED,-2.5,-2.5,54,No,Not Available,Not Available,Hotel Dieu,75117,Not Available,Not Available,1,100,Not Available,90057,2017,Multifamily Housing,42.5,108.6,2576.9,42,106.7,2006
4962 MELROSE AVE,4.68E+11,37.4,COMPLIED,-73.1,-73.1,Not Available,No,Not Available,Not Available,SKS Management LLC,120228,0,0,1,100,Not Available,90029,2017,Self-Storage Facility,4.1,12.8,846.7,4.1,4.1,2001
501 W OLYMPIC BLVD,4.83E+11,565.9,COMPLIED,10.2,10.2,33,No,Not Available,Not Available,GID,148707,Not Available,Not Available,1,95,Not Available,90015,2017,Multifamily Housing,55.7,136.3,4403,56.5,137.1,1994
15433 VENTURA BLVD,4.20E+11,626.6,COMPLIED,-5.2,-5.2,56,No,Not Available,Not Available,WH Hotel LLC,129500,Not Available,Not Available,1,100,Not Available,91403,2017,Hotel,63.8,200.3,5766.7,62.8,197.3,1968
3640 LOS FELIZ BLVD,4.79E+11,268.8,COMPLIED,-25.2,-25.2,90,No,Not Available,Not Available,Fountain View Apartments,105000,Not Available,Not Available,6,100,Not Available,90027,2017,Multifamily Housing,42.9,71,3814.3,45.8,74,1954
6250 N SYLMAR AVE,4.27E+11,46.9,COMPLIED,-35.7,-35.7,Not Available,No,Not Available,Not Available,LOS ANGELES PUBLIC LIBRARY,12814,Not Available,Not Available,1,100,Not Available,91401,2017,Library,48.2,151.5,302.1,Not Available,Not Available,1996
16830 DEVONSHIRE ST,4.11E+11,36.3,COMPLIED,-93.4,-93.4,Not Available,No,Not Available,Not Available,ACF Property Management,95608,Not Available,Not Available,2,95,Not Available,91344,2017,Strip Mall,5,15.7,12.6,5,15.7,1958
425 SHATTO PL,4.74E+11,316.8,COMPLIED,-46.4,-46.4,94,No,Not Available,Not Available,Shatto Corporation,80000,Not Available,Not Available,1,100,Not Available,90020,2017,Office,55.3,152.2,1647.4,57.1,154.1,1970
21616 CALIFA ST,3.80E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Conservice, LLC",72893,Not Available,Not Available,1,95,Not Available,91367,2017,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,1979
22855 VICTORY BLVD,3.72E+11,403.7,COMPLIED,-59.7,-59.7,95,No,Not Available,Not Available,Home Depot,139368,701.1,5.03,1,100,Not Available,91307,2017,Retail Store,39.7,114.3,701.1,40.9,114.3,2003
445 S NEW HAMPSHIRE AVE,4.73E+11,437.9,COMPLIED,47,47,5,No,Not Available,Not Available,"Vert Energy Group, Inc.",113424,Not Available,Not Available,2,100,Not Available,90020,2017,Multifamily Housing,58.7,130.1,7186.5,Not Available,Not Available,1969
5955 DE SOTO AVE,3.83E+11,220.8,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"LFT - DeSoto, LLC",54525,Not Available,Not Available,1,95,Not Available,91367,2017,Office,Not Available,Not Available,345.7,Not Available,Not Available,1978
2401 W JEFFERSON BLVD,4.64E+11,132,COMPLIED,-11.6,-11.6,68,No,Not Available,Not Available,Thomas Safran and Associates,72204,Not Available,Not Available,1,100,Not Available,90018,2017,Multifamily Housing,26.9,65,7360.7,27.1,65.2,2013
9920 BALBOA BLVD,4.10E+11,41.1,COMPLIED,-53.3,-53.3,Not Available,No,Not Available,Not Available,Public Storage,76507,260,3.4,1,100,Not Available,91325,2017,Self-Storage Facility,7.1,22.2,260,6.6,20.6,2006
1305 N GAFFEY ST,4.72E+11,26.7,COMPLIED,-57.4,-57.4,Not Available,No,Not Available,Not Available,West Coast Self Storage,54590,Not Available,Not Available,2,95,Not Available,90731,2017,Self-Storage Facility,6.5,20.3,148.3,6.3,19.9,2012
21800 OXNARD ST,3.79E+11,910.6,COMPLIED,-41.3,-41.3,87,No,06/12/2017,"2017, 2010",650186,232242,Not Available,Not Available,1,85,Not Available,91367,2017,Office,55.6,147.3,3192.3,57.1,146.2,1990
5400 VAN NUYS BLVD,4.26E+11,813,COMPLIED,34.3,34.3,Not Available,No,Not Available,Not Available,Keyes Motors Inc.,169163,Not Available,Not Available,1,100,Not Available,91401,2017,Automobile Dealership,69.7,174.7,3494.2,69.7,174.7,2012
601 WILSHIRE BLVD,4.84E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,611 Wilshire Properties,172067,1257.9,7.31,1,60,Not Available,90017,2017,Office,Not Available,Not Available,1257.9,Not Available,Not Available,1952
13843 OXNARD ST,4.30E+11,263.7,COMPLIED,2.7,2.7,45,No,Not Available,Not Available,Weiss Investment Properties,84094,Not Available,Not Available,1,85,Not Available,91401,2017,Multifamily Housing,54.5,79.2,3646.8,57,81.8,1990
323 S CATALINA ST,4.72E+11,274.1,COMPLIED,-32.9,-32.9,95,No,Not Available,Not Available,AUM,129344,Not Available,Not Available,1,95,Not Available,90020,2017,Multifamily Housing,32.7,69.6,7690,33.1,70.1,1987
3250 W SAN MARINO ST,4.70E+11,23.5,COMPLIED,18.1,18.1,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",8527,Not Available,Not Available,1,100,Not Available,90006,2017,Other - Recreation,36.4,114.3,1719,36.4,114.3,1949
1149 W 190TH ST,4.72E+11,289.8,COMPLIED,28.2,28.2,Not Available,No,Not Available,Not Available,"Bandini Properties, LLC",63233,Not Available,Not Available,1,75,Not Available,90248,2017,Office,60.4,189.8,755.5,60.2,188.9,1983
15505 NORDHOFF ST,4.20E+11,109.6,COMPLIED,-33.3,-33.3,94,No,Not Available,Not Available,Moss & Company,58036,Not Available,Not Available,1,95,Not Available,91343,2017,Multifamily Housing,27.9,66.7,3203.9,28.4,67.2,1964
400 S HOPE ST,4.85E+11,2677.8,COMPLIED,-44.1,-44.1,91,No,02/06/2018,"2018, 2017, 2016, 2015, 2014, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003",Maximum Energy Professionals,779676,Not Available,Not Available,1,90,4234.7,90071,2017,Office,51.3,148.7,12499.7,50.8,147.1,1982
6101 VARIEL AVE,3.82E+11,539.1,COMPLIED,22.1,22.1,Not Available,No,Not Available,Not Available,"Panavision International, L.P.",145000,Not Available,Not Available,1,100,Not Available,91367,2017,Mixed Use Property,49.9,150.4,1052.3,48.6,144.9,2012
11999 SAN VICENTE BLVD,4.18E+11,206.1,COMPLIED,-54.9,-54.9,98,No,08/09/2017,"2017, 2010",650186,62768,Not Available,Not Available,1,85,Not Available,90049,2017,Office,45.3,128.3,172.6,45,125.4,1985
5855 TOPANGA CANYON BLVD,3.79E+11,189.4,COMPLIED,-26.6,-26.6,76,No,Not Available,Not Available,Realty Bancorp Equities,50019,Not Available,Not Available,1,85,Not Available,91367,2017,Office,51.1,152.5,Not Available,Not Available,Not Available,1980
13235 GOLDEN STATE RD,4.15E+11,588.1,COMPLIED,-57.4,-57.4,Not Available,No,Not Available,Not Available,Allied Bevergaes,573698,Not Available,Not Available,2,100,Not Available,91342,2017,Refrigerated Warehouse,17.1,52.4,1724.7,16.1,49,2008
1531 E 103RD ST,4.87E+11,33.3,COMPLIED,-39,-39,86,No,Not Available,Not Available,ece_cola_gsd,14391,Not Available,Not Available,1,100,Not Available,90002,2017,Office,32,90.2,43,31.6,88.4,1974
11300 EXPOSITION BLVD,4.29E+11,116.2,COMPLIED,-38.5,-38.5,99,No,Not Available,Not Available,Robert and Claire Heron,56000,Not Available,Not Available,1,95,Not Available,90064,2017,Multifamily Housing,32.2,67.1,1998.9,33,67.9,1999
1620 N FULLER AVE,4.56E+11,144.1,COMPLIED,-51.4,-51.4,100,No,Not Available,Not Available,Francis Property Management,96078,Not Available,Not Available,1,95,Not Available,90046,2017,Multifamily Housing,19.8,62.1,2360.9,19.8,62.1,1987
18321 CLARK ST,4.01E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Providence Health & Services,330426,Not Available,Not Available,1,100,Not Available,91356,2017,Parking,Not Available,Not Available,Not Available,Not Available,Not Available,1973
317 CROCKER ST,4.89E+11,17.5,COMPLIED,-71.8,-71.8,97,No,Not Available,Not Available,"317 Crocker Street, LLC",35750,Not Available,Not Available,1,100,Not Available,90013,2017,Non-Refrigerated Warehouse,6.4,20.3,174,6.4,20.3,1923
5001 W RODEO RD,4.55E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",10368,Not Available,Not Available,1,100,Not Available,90016,2017,Other - Recreation,Not Available,Not Available,Not Available,Not Available,Not Available,1980
5055 WILSHIRE BLVD,4.59E+11,553.9,COMPLIED,-50.1,-50.1,92,No,10/23/2017,"2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002",Transwestern,188169,2475.7,13.16,1,95,847.2,90036,2017,Office,41.8,117,5544,41.3,115.7,1992
170 N CHURCH LN,4.20E+11,645.6,COMPLIED,-9.3,-9.3,60,No,Not Available,Not Available,Hotel Angeleno,108000,Not Available,Not Available,1,85,Not Available,90049,2017,Hotel,92.4,195.6,5291.8,92.7,193.8,1970
315 S BROADWAY,4.86E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,GCS Equity LLC,118265,Not Available,Not Available,1,100,Not Available,90013,2017,Other - Entertainment/Public Assembly,Not Available,Not Available,Not Available,Not Available,Not Available,1898
230 E 6TH ST,4.86E+11,394.7,COMPLIED,-55.3,-55.3,92,Yes,Not Available,Not Available,"Samko, LLC",326931,Not Available,Not Available,1,100,Not Available,90014,2017,Non-Refrigerated Warehouse,15.9,50,1292.7,15.5,48.7,1966
3522 S FIGUEROA ST,4.77E+11,1139.6,COMPLIED,48,48,12,No,Not Available,Not Available,University of Southern California,178741,58412.8,326.8,1,100,Not Available,90007,2017,Hotel,97.2,213.8,58412.8,94.2,204.7,1974
3400 S FIGUEROA ST,T00000000299,2426.7,COMPLIED,283.6,283.6,Not Available,No,Not Available,Not Available,University of Southern California,259892,14373.9,55.31,1,100,Not Available,90007,2017,Indoor Arena,138.8,326.4,14373.9,138.8,326.4,2005
5700 W CENTINELA AVE,4.46E+11,152.5,COMPLIED,-48.6,-48.6,100,Non,Not Available,Not Available,AUM,91827,Not Available,Not Available,1,95,Not Available,90045,2017,Immeuble �?logements multiples,27,49.3,4528.4,27.8,50.3,2000
10800 CANTARA ST,4.51E+11,32.5,COMPLIED,-59.6,-59.6,91,No,Not Available,Not Available,8620 Tamarack Investors LLC,52850,Not Available,Not Available,1,100,Not Available,91352,2017,Distribution Center,8.5,24.1,Not Available,Not Available,Not Available,1965
5950 W AVION DR,4.45E+11,381.1,COMPLIED,155.5,155.5,3,No,Not Available,Not Available,Los Angeles World Airports,98036,Not Available,Not Available,1,95,Not Available,90045,2017,Non-Refrigerated Warehouse,52,158.1,1363.7,Not Available,Not Available,1956
11100 SANTA MONICA BLVD,4.27E+11,1474.1,COMPLIED,-33.1,-33.1,84,No,10/18/2017,"2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005",The Irvine Company,332800,Not Available,Not Available,1,100,Not Available,90025,2017,Office,58.4,183.4,9517.4,58.4,183.4,1986
15225 W VANOWEN ST,4.21E+11,49.2,NOT COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,EnergyPrint,134520,750.7,5.58,1,100,0,91405,2017,Parking,4.8,15.2,750.7,4.8,15,1985
3940 EAGLE ROCK BLVD,4.92E+11,13.6,COMPLIED,-91.1,-91.1,100,No,Not Available,Not Available,UDI Investment Co.,55000,Not Available,Not Available,1,100,Not Available,90065,2017,Multifamily Housing,3.3,10.3,4112.8,Not Available,Not Available,1988
3668 MOTOR AVE,4.39E+11,113.2,COMPLIED,-31.3,-31.3,97,No,Not Available,Not Available,Roxbury Properties,40800,Not Available,Not Available,1,95,Not Available,90034,2017,Multifamily Housing,44.5,84.4,1781.9,45.8,85.8,1987
16231 W WATERMAN DR,4.14E+11,6.7,COMPLIED,-81.2,-81.2,Not Available,No,Not Available,Not Available,Los Angeles World Airports,10443,Not Available,Not Available,1,50,Not Available,91406,2017,Other,9.4,23.2,123.1,Not Available,Not Available,1973
7901 DEERING AVE,3.82E+11,10.7,COMPLIED,-83.8,-83.8,100,No,Not Available,Not Available,GDF - GREAT DEAL FURNITURE,74000,Not Available,Not Available,1,100,Not Available,91304,2017,Retail Store,1.9,6,44.4,1.9,6,1973
1111 S GRAND AVE,4.82E+11,242.8,COMPLIED,-67.9,-67.9,100,No,Not Available,Not Available,"Vert Energy Group, Inc.",361766,Not Available,Not Available,1,100,Not Available,90015,2017,Multifamily Housing,9,27.3,1065.2,9,27.3,2005
555 E JEFFERSON BLVD,4.81E+11,10.7,COMPLIED,-86.4,-86.4,Not Available,No,Not Available,Not Available,GINO CORPORATION,54000,Not Available,Not Available,2,100,Not Available,90011,2017,Distribution Center,2.6,8.2,26.3,2.6,8.2,1975
453 S SPRING ST,4.86E+11,632.1,COMPLIED,-63.7,-63.7,98,No,Not Available,Not Available,"Vert Energy Group, Inc.",230000,Not Available,Not Available,1,100,Not Available,90013,2017,Office,44,84,1638.2,Not Available,Not Available,1914
6700 FALLBROOK AVE,3.73E+11,141.3,COMPLIED,-49.5,-49.5,92,No,Not Available,Not Available,"Calabasas Village, LLC",56500,Not Available,Not Available,1,85,Not Available,91307,2017,Office,33,103.5,681.5,33,103.5,1982
10671 LORNE ST,4.52E+11,84,COMPLIED,-25.8,-25.8,69,No,Not Available,Not Available,Ratner Property Management,66000,Not Available,Not Available,1,100,Not Available,91352,2017,Non-Refrigerated Warehouse,19.8,41.1,1238.7,23.7,44.5,1970
11838 SHELDON ST,4.44E+11,7.8,COMPLIED,-88.5,-88.5,Not Available,No,Not Available,Not Available,Public Storage,53740,213,3.96,1,100,Not Available,91352,2017,Self-Storage Facility,2,5.5,213,2.1,5.5,2016
216 S ALAMEDA ST,4.90E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Angel City Brewery,61,Not Available,Not Available,1,35,Not Available,90012,2017,Manufacturing/Industrial Plant,Not Available,Not Available,Not Available,Not Available,Not Available,1914
4960 N BALBOA BLVD,4.10E+11,55.3,COMPLIED,-17,-17,Not Available,No,Not Available,Not Available,ece_cola_gsd,15250,Not Available,Not Available,1,100,Not Available,91316,2017,Fire Station,53.5,128.1,330452.9,Not Available,Not Available,2006
300 ROSE AVE,4.17E+11,0,NOT COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Westport Realty, Inc.",103539,Not Available,Not Available,2,100,Not Available,90291,2017,Office,Not Available,Not Available,Not Available,Not Available,Not Available,1978
5250 HARMONY AVE,4.51E+11,181.9,COMPLIED,-20.4,-20.4,81,No,Not Available,Not Available,InSite Development,73300,Not Available,Not Available,1,100,Not Available,91601,2017,Multifamily Housing,37.7,83.8,2339.7,39,85.2,1990
11761 W ROSCOE BLVD,4.44E+11,88.6,COMPLIED,64.1,64.1,11,No,Not Available,Not Available,Los Angeles Department of Water and Power,22000,Not Available,Not Available,1,100,Not Available,91352,2017,Office,53.1,166.7,134.3,49.8,156.5,1970
131 S BURLINGTON AVE,4.81E+11,87.9,COMPLIED,-35.3,-35.3,97,No,Not Available,Not Available,1979 Ehrlich Investment Trust,51870,Not Available,Not Available,1,100,Not Available,90057,2017,Multifamily Housing,22.3,70.2,5412.2,22.3,70.2,1989
8665 BURTON WAY,4.46E+11,216.5,COMPLIED,-16.1,-16.1,79,No,Not Available,Not Available,"RealPage Utility Management, Inc.",80390,Not Available,Not Available,1,95,Not Available,90048,2017,Multifamily Housing,40.6,92,3191.2,41.1,92.6,1989
7230 MEDICAL CENTER DR,3.71E+11,292.9,COMPLIED,-14.9,-14.9,64,No,Not Available,Not Available,"Vert Energy Group, Inc.",59723,Not Available,Not Available,1,100,Not Available,91307,2017,Office,72.4,173.2,1072.2,Not Available,Not Available,1979
756 S BROADWAY,4.85E+11,563.7,COMPLIED,30.2,30.2,14,No,Not Available,Not Available,G.P. Metcal Funding Group,214667,7875.1,36.69,1,95,Not Available,90014,2017,Multifamily Housing,38,95.6,7875.1,37.5,93.3,1911
1125 W 6TH ST,4.82E+11,308.6,COMPLIED,9.5,9.5,41,No,Not Available,Not Available,Sapphire Equity,59764,Not Available,Not Available,1,85,Not Available,90017,2017,Office,68.1,213.8,3650.9,66.1,207.6,1955
1990 S BUNDY DR,4.24E+11,852.8,COMPLIED,-32.5,-32.5,84,No,06/12/2017,"2017, 2010",650186,188490,2835.1,15.04,1,95,Not Available,90025,2017,Office,62.4,176.9,2835.1,63.9,178.4,1980
920 E 12TH ST,4.86E+11,4.7,COMPLIED,-98.1,-98.1,Not Available,No,Not Available,Not Available,Fisch Properties LP,43300,Not Available,Not Available,1,100,Not Available,90021,2017,Other - Mall,1.4,4.5,272.3,1.4,4.5,1991
444 S LA FAYETTE PARK PL,4.76E+11,55.8,COMPLIED,-69.4,-69.4,100,No,Not Available,Not Available,Trans Pacific Management,50772,Not Available,Not Available,1,100,Not Available,90057,2017,Multifamily Housing,19.6,26,3379.4,20.5,27,1970
510 S ARDMORE AVE,4.70E+11,169.7,COMPLIED,-48.1,-48.1,100,No,Not Available,Not Available,"Vert Energy Group, Inc.",109392,Not Available,Not Available,1,100,Not Available,90020,2017,Multifamily Housing,25.7,44.1,3788.1,26.1,44.6,1979
13031 W VAN NUYS BLVD,4.36E+11,62.2,COMPLIED,-5.8,-5.8,Not Available,No,Not Available,Not Available,ece_cola_gsd,14546,Not Available,Not Available,1,100,Not Available,91331,2017,Fire Station,64.7,145.3,483.6,64.2,139.5,1960
5999 CENTER DR,4.44E+11,1013.2,COMPLIED,-10.3,-10.3,60,No,Not Available,Not Available,"Environmental SAVE, LLC",174084,2785.7,16,1,60,Not Available,90045,2017,Office,78.1,235.9,2785.7,79.8,237.8,2000
315 W AVENUE 38,4.97E+11,72.1,COMPLIED,-66.5,-66.5,100,No,Not Available,Not Available,"Vert Energy Group, Inc.",90133,Not Available,Not Available,1,100,Not Available,90065,2017,Multifamily Housing,11.8,28.5,3282.5,11.7,28.5,1972
325 S BOYLE AVE,4.95E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Sakura Gardens,174240,Not Available,Not Available,3,80,Not Available,90033,2017,Senior Care Community,Not Available,Not Available,Not Available,Not Available,Not Available,1975
1753 E OLYMPIC BLVD,4.89E+11,844,COMPLIED,75,75,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",214735,Not Available,Not Available,1,100,Not Available,90021,2017,Other,55.8,156.2,4646.2,55.8,156.2,1925
19550 NORDHOFF ST,3.93E+11,262.7,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,HItchcock Commercial Properties,67796,Not Available,Not Available,1,100,Not Available,91324,2017,Automobile Dealership,51.1,160.4,1187.2,51.1,160.4,2015
16710 VENTURA BLVD,T00000000285,338.1,COMPLIED,-18.4,-18.4,78,No,Not Available,Not Available,Moss & Company,159500,Not Available,Not Available,1,95,Not Available,91436,2017,Multifamily Housing,33.5,66.3,4909.5,34.6,67.4,2010
16920 CHATSWORTH ST,4.10E+11,117.1,COMPLIED,-14.7,-14.7,72,No,Not Available,Not Available,"Vert Energy Group, Inc.",52669,Not Available,Not Available,3,100,Not Available,91344,2017,Multifamily Housing,34.9,73.9,2818.7,35.9,75,2000
2828 E 12TH ST,4.95E+11,26.9,COMPLIED,-81.8,-81.8,Not Available,No,Not Available,Not Available,DIBAS LLC,102000,9.2,0.09,4,100,Not Available,90023,2017,Distribution Center,3.5,10.9,9.2,Not Available,Not Available,1941
1200 GETTY CENTER DR,4.18E+11,705,COMPLIED,-22.4,-22.4,Not Available,No,Not Available,Not Available,The J. Paul Getty Trust,441774,Not Available,Not Available,1,100,Not Available,90049,2017,Parking,21,66.1,Not Available,Not Available,Not Available,1997
12006 W VENICE BLVD,4.32E+11,88,COMPLIED,23.7,23.7,Not Available,No,Not Available,Not Available,LOS ANGELES PUBLIC LIBRARY,12500,Not Available,Not Available,1,100,Not Available,90066,2017,Library,92.9,291.6,340.1,Not Available,Not Available,2003
11805 W SHELDON ST,4.43E+11,63.9,COMPLIED,-58.1,-58.1,96,No,Not Available,Not Available,Los Angeles Department of Water and Power,41172,Not Available,Not Available,1,100,Not Available,91352,2017,Office,20.5,64.3,96.2,20.5,64.3,1955
4700 WILSHIRE BLVD,4.61E+11,382,NOT COMPLIED,-28.1,-28.1,79,No,08/23/2017,"2017, 2016",CIM Group,69477,Not Available,Not Available,1,100,Not Available,90010,2017,Office,80,198.8,1054.4,80.8,198.1,1982
5757 W CENTURY BLVD,4.46E+11,2182.8,COMPLIED,11,11,Not Available,No,Not Available,Not Available,"Sunny Hills Management, Inc.",499302,Not Available,Not Available,2,75,Not Available,90045,2017,Office,62,164.4,8854.1,61.8,162.2,1980
10599 WILSHIRE BLVD,4.30E+11,391.9,NOT COMPLIED,46.9,46.9,5,No,Not Available,Not Available,NMS Properties,110297,Not Available,Not Available,1,95,Not Available,90024,2017,Multifamily Housing,52.4,125.7,4002,54.1,127.4,2007
5410 WILSHIRE BLVD UNIT RM 00103,4.57E+11,156.6,COMPLIED,-51.7,-51.7,94,No,Not Available,Not Available,"Amherst Tower, LLC c/o Carnegie Hill Properties LA",71371,Not Available,Not Available,1,80,Not Available,90036,2017,Office,28.9,90.8,1483.6,27.8,87.4,1930
18626 S WESTERN AVE,4.68E+11,1.5,COMPLIED,-98.8,-98.8,Not Available,No,Not Available,Not Available,Golden State Storage,45500,Not Available,Not Available,14,90,Not Available,90248,2017,Self-Storage Facility,0.6,0.6,186.2,Not Available,Not Available,1976
5901 S CENTRAL AVE,4.84E+11,186.5,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Tampico Spice Company,73000,187.5,2.57,1,100,Not Available,90001,2017,Manufacturing/Industrial Plant,33.9,105.1,187.5,33.4,103.8,1939
435 W 8TH ST,4.75E+11,201.3,COMPLIED,-14.9,-14.9,72,No,Not Available,Not Available,HARBOR TERRACE RETIREMENT CENTER,57092,Not Available,Not Available,1,100,Not Available,90731,2017,Senior Care Community,51.5,126.6,3670.3,52.4,127.7,1989
7860 NELSON RD,4.28E+11,471.2,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",189823,Not Available,Not Available,1,100,Not Available,91402,2017,Manufacturing/Industrial Plant,37.4,89.6,3287.7,37.4,89.6,1999
5557 E VALLEY BLVD,1.12E+11,3065,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Grifols Biologicals,95200,17136.8,180.01,1,75,Not Available,90032,2017,Manufacturing/Industrial Plant,464.8,1178.3,17136.8,464.8,1178.3,2014
1801 N LA BREA AVE,4.57E+11,99.7,COMPLIED,-16.7,-16.7,75,No,Not Available,Not Available,Thomas Safran and Associates,40101,Not Available,Not Available,1,100,Not Available,90046,2017,Multifamily Housing,39.9,79,2608,40.7,80,1988
8960 ETON AVE,3.82E+11,724.4,COMPLIED,371.3,371.3,Not Available,No,Not Available,Not Available,Unknown,51686,Not Available,Not Available,1,100,Not Available,91304,2017,Other,184.8,580.3,2642.9,184.8,580.3,1978
5700 W CENTINELA AVE,4.46E+11,240.2,COMPLIED,14.5,14.5,23,Non,Not Available,Not Available,AUM,60165,Not Available,Not Available,1,95,Not Available,90045,2017,Immeuble �?logements multiples,64.1,121.3,2927.5,66.5,123.8,2000
1770 BLAKE AVE,4.88E+11,20.3,COMPLIED,-81.2,-81.2,Not Available,No,Not Available,Not Available,Public Storage,90900,71,0.78,1,100,Not Available,90031,2017,Self-Storage Facility,3,8.9,71,3,8.8,1990
512 VETERAN AVE,4.24E+11,136.6,COMPLIED,-28.4,-28.4,90,No,Not Available,Not Available,AR Properties,106276,Not Available,Not Available,1,95,Not Available,90024,2017,Multifamily Housing,22.7,31.1,6093.6,Not Available,Not Available,2008
20200 SHERMAN WAY,3.88E+11,78.3,COMPLIED,-68.1,-68.1,100,No,Not Available,Not Available,Warner Palms Apartment LLC,60051,Not Available,Not Available,2,100,Not Available,91306,2017,Multifamily Housing,22.4,34.1,2667.9,Not Available,Not Available,1964
16501 VENTURA BLVD,4.13E+11,727.1,COMPLIED,-48.7,-48.7,95,No,08/02/2017,2017,650186,197214,Not Available,Not Available,1,90,Not Available,91436,2017,Office,49.7,148.4,4667.1,49.4,144.9,1986
5950 AVALON BLVD,4.81E+11,35.7,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Textured Coatings of America,56338,76.4,1.36,1,85,Not Available,90001,2017,Manufacturing/Industrial Plant,8.4,26.1,76.4,8.4,26.1,1940
1941 SANTA CLARA ST,4.91E+11,41.9,COMPLIED,-93.9,-93.9,100,No,Not Available,Not Available,"Vert Energy Group, Inc.",152529,Not Available,Not Available,1,90,Not Available,90021,2017,Office,3.9,10.9,372.5,3.9,10.9,1929
631 S OLIVE ST,4.84E+11,404.3,COMPLIED,-36.8,-36.8,86,No,09/05/2017,2017,Olive Hill Group,99845,Not Available,Not Available,1,90,Not Available,90014,2017,Office,53.4,167.7,5822.7,51.7,162.4,1985
