natural_gas_use_kbtu,portfolio_manager_id,postal_code,property_name,source_eui_kbtu_ft,total_ghg_emissions_mtco2e,district_steam_use_kbtu,site_eui_kbtu_ft,primary_property_type_epa_calculated,number_of_buildings,energy_star_score,location_1_address,year_built,fuel_oil_2_use_kbtu,property_floor_area_buildings_and_parking_ft,water_use_all_water_sources_kgal,electricity_use_kbtu,notes,philadelphia_building_id
Not Available,3965451,19122,BELL BUILDING & GARAGE (Bldg 253000 Garage 84469),702.6,10826.60,"18,827,468.90",345.2,College/University,1,Not Available,1121 W. MONTGOMERY AVENUE,1990,Not Available,421938,26756.00,54562929.80,,777634500
"3,769.30",3938855,19102,1518 Walnut Street,178.7,868.2,"5,238,073.00",88.1,Office,1,80,1518 Walnut Street,1929,Not Available,103560,1640.80,3885647.00,,883334010
Not Available,3820182,19103,Moore College of Art and Design Wilson Hall,357.3,1095.40,"8,990,596.60",201.8,College/University,2,Not Available,1916 Race Street,1963,Not Available,63000,1587.00,3723515.60,,772688010
"8,620,761.70",3790272,19119,Caring Heart Rehabilition and Nursing Center,236,1480.70,Not Available,116.2,Senior Care Community,1,35,6445 Germantown Ave,1955,Not Available,140000,8475.10,7640713.40,,881447300
Not Available,3569992,19132,2709 N. BROAD STREET,5.1,13,Not Available,1.6,Other,1,Not Available,2709 N. BROAD STREET,1923,Not Available,60000,287.4,97314.60,,882286600
"3,167,600.20",4092246,19146,Pathmark Store 6532,614.9,1508.80,Not Available,233.1,Supermarket/Grocery Store,1,65,3001 Grays Ferry Avenue,1988,Not Available,56549,2123.00,10014025.50,,882051606
Not Available,3983897,19122,1810 LIACOURAS WALK,271.1,999.4,"7,464,589.60",169.8,College/University,1,Not Available,1810 Liacouras Walk,2000,Not Available,74630,1085.50,2824825.50,,777509000
"242,546.40",1750728,19103,"1735 MARKET STREET - OFFICE, Site # 602850",195.7,11802.80,"517,704.30",62.7,Office,1,Not Available,1735 MARKET ST OFC,1990,Not Available,1503469,18996.00,87816008.80,,883053525
Not Available,3884965,19107,Headhouse Retail,261.3,3210.30,"12,537,133.20",111.7,Other,2,Not Available,1131 Market Street,1990,Not Available,107000,115.4,17762677.50,,883705100
"355,611.60",3643201,19107,Jefferson Alumni Hall,743.6,15502.50,"69,649,600.60",331.6,Laboratory,1,Not Available,1020 Locust Street,1968,Not Available,455711,28900.20,81118389.30,,771016500
"5,643.00",3642349,19107,Curtis Building,249.4,1631.10,"6,266,111.90",149.5,Office,1,37,1015 Walnut Street,1928,Not Available,136566,4029.00,5779951.90,,771020000
"1,883.90",3589770,19134,Elkin,220.6,607.8,Not Available,114.3,K-12 School,1,21,3199 D ST,1973,"3,449,724.80",53200,975.6,2626978.00,,786010800
"3,556,731.40",3859682,19115,Sloane Honda,381.9,1064.40,Not Available,158.9,Parking,3,Not Available,9903 Bustleton Avenue,1957,Not Available,190638,574.1,6540036.30,,882174600
"1,426,358.00",3330742,19128,Saul CTE,126.8,664.9,Not Available,68.5,K-12 School,1,67,7100 HENRY AVE,1980,"2,912,904.30",104018,1425.60,2785891.90,,784190100
"566,535.20",3959476,19140,Shriners Hospital for Children,453,3627.40,"19,494,161.30",216.2,Other - Specialty Hospital,1,Not Available,3551 North Broad St.,1997,Not Available,172340,7959.30,17203553.10,,777533101
"1,052,583.20",3330877,19123,Stoddart-Fleisher,173.7,1202.70,Not Available,140.4,K-12 School,1,2,540 N 13TH ST,1926,"12,559,793.50",108393,1300.60,1604068.90,,781646000
Not Available,3782254,19148,Pier 84,13.6,313.7,Not Available,4.3,Non-Refrigerated Warehouse,2,Not Available,2401 south columbus boulevard,1919,Not Available,540000,392.6,2343365.40,,884463825
"21,991,188.90",3330914,19138,King HS,203.3,3391.20,Not Available,104.3,K-12 School,1,24,6100 STENTON AVE,1972,Not Available,370000,9792.70,16607544.90,,784421900
"4,491,511.20",3875956,19154,Kingsbury - 10385 Drummond Rd,265.5,1399.60,Not Available,109.4,Manufacturing/Industrial Plant,1,Not Available,10385 Drummond Road,1980,Not Available,120350,435.8,8673170.90,,884285000
"485,490.40",3880929,19114,9501 Pavillion,57.8,173.4,Not Available,23.1,Medical Office,1,100,9501 Roosevelt Blvd,1989,Not Available,68776,1942.10,1102819.50,,883088901
"7,794,712.70",3490893,19154,Rush,211.7,1706.50,Not Available,106.7,K-12 School,1,4,11901 Knights Rd,1980,"2,408,790.00",173550,1962.90,8319640.00,,786249200
"13,212,125.10",3954556,19131,Hilton Philadelphia-Homewood Suites,204.3,2358.00,Not Available,99.2,Hotel,2,50,4200 City Avenue,2000,Not Available,258000,16620.80,12372386.30,,883753000
"2,119,274.80",3762580,19104,71-URBN Center,239.3,1670.40,Not Available,84.9,College/University,1,Not Available,3501 Market Street,2008,Not Available,162000,1324.10,11637229.90,,774688700
"253,224.30",3330819,19130,Franklin Learning Center,144.4,1109.00,"12,127,988.50",97,K-12 School,1,39,616 N 15TH ST,1909,Not Available,150000,855.6,2168706.80,,782640200
"2,141,282.60",4134811,19122,Diamond Green,153.5,864.2,Not Available,59.9,Multifamily Housing,1,58,1000 Diamond St,2012,Not Available,129330,7252.40,5606148.00,,881147275
Not Available,3876067,19102,centralized comprehensive human services,151.4,735,"3,270,165.80",67.2,Medical Office,1,64,112 north Broad St,1896,Not Available,106218,2280.20,3868610.90,,883023400
"202,244.40",3849558,19104,TRL 31st Street,1294.50,7469.50,"37,668,905.00",599.2,Laboratory,1,Not Available,125 S. 31st Street,2004,Not Available,125000,7046.90,37033882.10,,773717100
"579,447.40",3330758,19115,Baldi,123,1091.20,Not Available,54.9,K-12 School,1,76,8801 VERREE RD,1974,"3,712,545.10",185113,1510.10,5863586.80,,786546800
Not Available,3876647,19136,Waste Management of PA - Phila MRF & Forge,251.3,2742.50,Not Available,80,Other,4,Not Available,5245 Bleigh Ave,1920,Not Available,206027,124.1,20487180.00,,884253000
"430,560.90",3767050,19132,Select Holdings LLC,29.8,91.4,Not Available,13.6,Manufacturing/Industrial Plant,1,Not Available,1800 W. Indiana Ave.,1970,Not Available,69049,42.3,511800.00,,884066000
"442,847.00",3679494,19103,Medical Tower Building,217.7,885.3,Not Available,72.4,Office,1,68,255 South 17th Street,1930,Not Available,95000,2792.70,6437386.30,,883051000
"6,783,500.10",3583473,19143,Mitchell,129.7,554.2,Not Available,91.5,K-12 School,1,13,5500 KINGSESSING AVE,1915,Not Available,90000,2314.20,1448777.20,,786264650
Not Available,3642562,19107,Scott Memorial Library,459,2251.50,"3,997,512.10",168.2,Library,1,Not Available,1020 Walnut Street,1976,Not Available,111970,4186.10,14836037.90,,771019000
"4,482,196.90",3707291,19144,Pennsylvania School for the Deaf,167.1,630.6,Not Available,89,K-12 School,7,32,100 W School House Lane,1984,Not Available,83271,1370.10,2932631.70,,775530500
"256,345.00",3989968,19122,Temple,41.3,102.2,Not Available,16.1,Self-Storage Facility,1,Not Available,1221 N. Broad Street,2007,Not Available,56873,53.9,661446.20,,884571850
"93,524.60",3814517,19133,Leatex Chemical Co.,6.2,14.8,Not Available,3.2,Distribution Center,1,99,2722 N. Hancock St.,1884,Not Available,53050,72.3,73680.50,,884340820
"8,978,187.20",3950682,19134,Richmond Mills LP,164.4,856.9,Not Available,105.9,Other,1,Not Available,2100 E Willard St,1905,Not Available,111570,,2838991.80,,884843500
"2,473,378.00",3951080,19134,jal associates inc,33.2,165,Not Available,26.7,Distribution Center,1,89,2216 e allegheny ave,1920,Not Available,102000,270.8,250915.10,,884094300
"231,995.40",3679905,19120,Med Arts,237.2,1114.50,Not Available,77,Office,1,58,1601 Walnut Street,1930,Not Available,110000,5465.10,8233555.20,,883332000
"1,289,225.10",3892150,19123,CubeSmart - Callowhill Street,52.6,331.2,Not Available,22.8,Self-Storage Facility,1,Not Available,501 Callowhill Street,1999,Not Available,97639,49.5,1962279.80,,884028510
Not Available,3679686,19103,1800 JFK,27.3,288.4,Not Available,8.7,Office,1,100,1800 John F. Kennedy Boulevard,1983,Not Available,248000,3078.90,2154556.20,,883056100
Not Available,3877707,19116,Calvary Chapel of Phila.,169.7,1041.60,Not Available,54,K-12 School,1,21,13500 Philmont Av.,1956,Not Available,144000,2586.50,7781008.00,,778253500
"172,823.80",3330796,19104,McMichael,109.4,656.4,Not Available,77.1,K-12 School,1,16,3543 FAIRMOUNT AVE,1916,"6,059,993.90",100000,942.6,1475719.30,,783631400
Not Available,3959332,19144,Kenneth Bushnell,25.5,65.2,Not Available,8.1,Manufacturing/Industrial Plant,1,Not Available,519 E. Chelten Ave,1900,Not Available,60000,133,487127.80,,884245510
"4,391,130.50",3632147,19153,DOA Warehouse,174.1,689.8,Not Available,88.6,Non-Refrigerated Warehouse,1,14,8401 Executive Ave,1970,Not Available,88022,,3410734.10,,884171000
Not Available,1273629,19146,PECO Christian Street Service Center,266.2,801.8,Not Available,84.8,Office,1,23,830 Schuylkill Avenue,1951,Not Available,70644,0.2,5989394.10,,772607000
"218,670.40",3772933,19134,Good Food Lab,60.8,184.6,Not Available,21.4,Non-Refrigerated Warehouse,1,65,428 E Erie Ave,1934,Not Available,70483,189.9,1292208.70,,884047900
"4,066,400.30",3351472,19153,311dn-Philadelphia - Airport,223.6,782.1,Not Available,105.7,Hotel,1,51,8900 Bartram Avenue,1991,Not Available,78490,5330.00,4228962.50,,883743000
"4,281,023.20",3330976,19136,Brown JH,124.9,326.6,Not Available,91.9,K-12 School,1,37,3600 STANWOOD ST,1937,Not Available,54623,441.4,740903.50,,786152400
"1,973,156.70",4056969,19154,Advanced Sports,68.4,220.7,Not Available,40.6,Distribution Center,1,71,10940 Dutton Rd,1965,Not Available,70000,97.9,865685.10,,884280500
"3,219,500.20",4092250,19134,Pathmark Store 6522,712.3,1705.10,Not Available,265.6,Supermarket/Grocery Store,1,42,3399 Aramingo Avenue,1977,Not Available,55268,783.2,11460297.30,,882125300
"90,060,404.00",3707280,19107,33703-Philadelphia,254.6,14940.40,"9,374,380.50",131.9,Hotel,1,33,1201 Market Street,1993,Not Available,1299546,58003.00,71223657.50,,883704500
"18,239.40",3955736,19140,KORNBERG DENTISTRY,363.4,2240.30,"11,578,719.40",169.4,College/University,1,Not Available,3201 N BROAD ST,1980,Not Available,133302,6041.60,10984760.00,,777526000
"1,570,845.60",3975541,19123,"The Mathematics, Civics and Sciences Charter School of Philadelphia, Inc.",67,182.5,Not Available,39,K-12 School,1,89,447 N. Broad St.,1925,Not Available,59300,639.1,739948.80,,771635100
"4,410,372.80",3960530,19144,Germantown Life Enrichment Center,58,506.8,Not Available,33.9,Multifamily Housing,1,Not Available,5722 Greene Street,1925,Not Available,190000,2996.70,2036002.20,,886810666
"19,130.30",3965856,19122,BEURY,509,4149.90,"5,213,959.30",289,College/University,1,Not Available,1901 N. 13TH,2000,Not Available,174700,4426.40,17461015.80,,777570400
Not Available,1516957,19106,Public Ledger,189.8,4609.90,"18,459,224.10",81.7,Office,1,73,600 Chestnut St.,1904,Not Available,535382,8788.50,25280770.40,,883003510
"453,602.00",3783053,19114,2100 Hornig Rd,242.1,924.3,Not Available,80.5,Refrigerated Warehouse,1,40,2100 Hornig Rd,2001,Not Available,89190,537.7,6725000.80,,884233810
"6,984.70",3569946,19132,2701 N. BROAD STREET,38.3,833.9,Not Available,12.2,Other,1,100,2701 N. BROAD STREET,1923,Not Available,200000,867.3,6226623.60,,883361500
"13,902,194.80",3635047,19102,Samuel MV Hamilton Building,241.1,2583.00,Not Available,115.3,College/University,1,Not Available,128 N. Broad Street,1905,Not Available,240000,3568.60,13779075.40,,772724100
"343,062.60",3879065,19154,Holts Cigar Company,226.6,494.1,Not Available,76.7,Distribution Center,1,29,12270 Townsend Rd,1970,Not Available,50847,288.2,3555225.50,,884292000
"8,228,622.80",3663256,19102,30 South 15th Associates,264.2,2792.90,Not Available,106.8,Office,1,54,30 South 15th Street,1985,Not Available,241854,4046.20,17598481.80,,883048700
"3,662,339.50",3337464,19138,Pastorius,105.3,368.6,Not Available,65.9,K-12 School,1,84,5650 SPRAGUE ST,1967,Not Available,75318,673.2,1300028.30,,785099400
"5,742,599.90",4092248,19111,Pathmark Store 6564,671.2,1697.50,Not Available,280.1,Supermarket/Grocery Store,1,52,840 Cottman Ave,1996,Not Available,57644,485.5,10401772.00,,882523400
"1,393,341.60",3790434,19120,jerusalem,1004.60,244.6,Not Available,490.4,Retail Store,1,Not Available,5691 rising sun ave,1950,Not Available,5440,81.8,1274596.60,,884116400
"62,665,391.80",3824648,19152,Nazareth Hospital,354.8,8676.90,Not Available,190.4,Hospital (General Medical & Surgical),4,77,2601 Holme Ave,1939,Not Available,539000,31116.70,39934116.20,,778009005
"3,847,807.90",4124433,19134,Amy at Martin,97.9,292,Not Available,72.3,K-12 School,1,31,3380 RICHMOND ST,1899,Not Available,62251,295.6,654257.80,,786456000
"20,737,174.10",3347763,19151,Overbrook School for the Blind,153,2198.00,Not Available,93.2,K-12 School,1,59,6333 Malvern Avenue,1900,Not Available,310473,3781.30,8191246.40,,774577000
"3,230,503.60",3330936,19128,Cook-Wissahickon,130.2,432.8,Not Available,70.9,K-12 School,1,64,531 RIGHTER ST.,1969,Not Available,73100,754.5,1951091.10,,784378900
"4,968,365.90",3884204,19123,Research Building,174.1,1154.60,Not Available,77.5,Office,1,77,444 North 3rd Street,1900,Not Available,150000,1859.40,6653949.30,,883008713
"2,621,690.40",3876478,19153,Philadelphia PA AH,215.5,710.9,Not Available,91.9,Hotel,1,12,4301 Island Ave,1980,Not Available,64000,3768.50,4270039.50,,883742800
"1,447,342.70",4115611,19131,Discovery Charter School,132.4,336.3,Not Available,58.9,K-12 School,1,46,4700 Parkside Ave,1930,Not Available,57434,856.8,1938273.90,,882966275
"3,462,174.90",3885158,19102,DUMed-219 North Broad St,225.7,885,Not Available,97.8,College/University,1,Not Available,219 North Broad Street,1955,Not Available,88962,1725.60,5237218.70,,771004500
"14,023,013.50",3281377,19136,Riverside Correctional Facility,257.6,2533.40,Not Available,124.5,Prison/Incarceration,1,Not Available,8001 State Rd,2004,Not Available,220000,3280.40,13361084.90,,786504751
"6,886,245.30",3790320,19148,Procacci Brothers Sales Corp.,244.1,3335.50,Not Available,92.3,Refrigerated Warehouse,1,48,3333 S. Front Street,1958,Not Available,315000,3968.40,22184759.20,,884149000
"4,644,804.50",3335315,19103,Family Court,184.5,2195.50,"12,587,386.50",102.2,Courthouse,1,72,1801 Vine St,1939,Not Available,250000,6016.20,8314600.40,,782598000
132.1,3983896,19122,ENGINEERING,322.6,2478.80,"12,914,208.70",185.7,College/University,1,Not Available,1947 N. 12TH,2000,Not Available,160325,497.8,9026418.70,,777568800
"7,630,992.70",3330800,19104,Washington Martha,174.8,595.1,Not Available,126.9,K-12 School,1,38,766 N 44TH ST,1930,Not Available,71300,4771.10,1417795.90,,783691500
Not Available,3958749,19125,Overbrook Plaza,,,Not Available,,Retail Store,1,Not Available,5610 Lancaster Ave,2002,Not Available,70000,3571.40,,,882540000
Not Available,3512078,19145,GLC 12170/2000 S BROAD ST/PHILADELPHIA/PA,385.2,1507.80,Not Available,122.7,Office,1,4,2000 S BROAD ST,1905,Not Available,91810,1300.00,11263530.60,,773619000
Not Available,3306120,19146,Tuttleman Building,435,1462.60,"5,409,766.90",183.4,Medical Office,1,8,1844 South. St,1989,Not Available,74460,5775.60,8242835.80,,772036205
"1,378,666.20",3856018,19104,"5,6,12,53,58,61-Quad Buildings",313,8512.10,"30,813,457.20",132.8,College/University,5,Not Available,3201 Chestnut Street,1898,Not Available,404816,15579.80,47756296.80,,774518010
"220,763.10",3579797,19107,125 S. 9th St. (Sheridan Building),176.8,735.3,Not Available,57.8,Office,1,77,125 S. 9th St.,1916,Not Available,97456,1421.70,5404921.90,,883010900
"1,327,772.90",3137016,19107,Connelly House,158.1,362,Not Available,65.1,Residence Hall/Dormitory,1,60,1212 Ludlow St,2010,Not Available,60000,4075.30,2576108.80,,886717500
"845,425.20",3774014,19142,Metro Storage East LLC-IS,30,147.2,Not Available,14.7,Self-Storage Facility,1,Not Available,2240 Island Ave.,1927,Not Available,109580,53.8,764290.40,,884791940
"14,711,325.00",3330913,19128,Roxborough HS,105.6,1203.00,Not Available,74.4,K-12 School,1,86,6498 RIDGE AVE,1924,Not Available,240000,3402.50,3149157.60,,784378200
Not Available,4479713,19102,DeMedici Corporation II,197.6,1263.80,Not Available,62.9,K-12 School,1,14,1600 Vine Street,1999,Not Available,150000,5798.00,9441004.00,,883065200
"8,716,124.80",3681793,19130,CCP Main Campus-East,272.5,5436.20,Not Available,99.4,College/University,4,Not Available,1600 Spring Garden St,1982,Not Available,503960,11707.50,37150913.70,,772534600
"15,683.50",3330841,19148,Southwark,80,661.4,Not Available,55.6,K-12 School,1,78,1835 S 9TH ST,1909,"6,116,767.10",138000,1082.30,1543744.70,,781609000
Not Available,3773319,19120,Lesco Paper & Box Co,24.2,118.9,Not Available,7.7,Non-Refrigerated Warehouse,1,82,651 E. Wyoming Ave,1921,Not Available,115000,196.7,888017.00,,884185500
-,3892830,19140,3820 N. 2nd Ave,27.3,104.2,Not Available,8.7,Non-Refrigerated Warehouse,1,74,3820 N. 2nd Ave,1950,Not Available,89550,9,778754.90,,884038510
"1,667,655.80",3963980,19129,SHARE Community Food Resource Center,55.3,328.8,Not Available,25.9,Distribution Center,1,82,2901 W Hunting Park Ave,1929,Not Available,133550,610.2,1794202.90,,884129000
"1,344,539.80",3522077,19104,2.0 University Place,138.9,634.2,Not Available,52.8,Office,1,79,30 N 41st Street,2013,Not Available,107589,355.8,4204102.60,,883073700
"14,879,737.10",3583474,19140,Edison,130.1,1876.80,Not Available,72.8,K-12 School,1,73,151 W LUZERNE ST,1985,Not Available,316000,5244.40,8116182.40,,786309550
"5,391,383.70",3892949,19119,Ciliveden Nursing,327.9,868.3,Not Available,165.3,Senior Care Community,1,22,6400 Greene Street,1984,Not Available,58899,6533.30,4347532.90,,881436651
"35,632,752.80",3783055,19142,Bartram HS,119.7,2600.70,Not Available,90.7,K-12 School,2,87,2401 S 67TH ST,1939,Not Available,451273,5386.90,5289391.60,,783130800
"2,370,758.70",4566549,19111,6610 Hasbrook Partnership,45.1,198.8,Not Available,31.3,Mixed Use Property,1,75,6610 Hasbrook Ave.,1940,-,93166,219.6,544242.30,,884121701
"3,086,241.40",3685736,19116,ROOSEVELT BOULEVARD ASSOC.,44.4,417.7,Not Available,24.1,Other,1,Not Available,1771 TOMLINSON ROAD,1970,Not Available,207000,1109.80,1895948.10,,884232400
"578,405.90",3813146,19135,MARJAM SUPPLY,24.6,116.5,Not Available,11.5,Distribution Center,1,88,6951 NEW STATE ROAD,1945,Not Available,106400,385.8,641104.20,,884182000
"375,924.10",3818671,19151,Lamberton,88.4,599.4,Not Available,66.2,K-12 School,1,87,7501 WOODBINE AVE,1980,"5,806,902.00",110193,1557.20,1109436.00,,783600400
Not Available,3526160,19102,Two Liberty Place,231.9,12695.50,Not Available,73.9,Office,1,55,50 South 16th Street,1990,Not Available,1283937,21039.70,94837666.00,,883031800
"1,488,530.90",4128418,19122,1801 Building,12.8,104.7,Not Available,10,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",1,Not Available,1801 North 9th Street,1900,Not Available,168718,12832.60,191549.90,,777630000
"3,782,348.40",3690846,19102,Historic Landmark Building,266.4,838.1,Not Available,120.3,Museum,1,Not Available,118 N. Broad Street,1865,Not Available,71000,1392.10,4759641.10,,772724000
"1,421,474.40",3760835,19132,Devon Self Storage Allegheny,81.7,743.6,Not Available,30.5,Self-Storage Facility,1,Not Available,1831 West Allegheny Ave,1920,Not Available,210000,22.9,4991100.90,,884067430
"1,758,466.20",3782623,19148,Pier 82 South,304.7,1638.50,Not Available,106.4,Refrigerated Warehouse,1,21,2201 S. Columbus Blvd,1980,Not Available,125000,1422.60,11542045.40,,781053600
Not Available,3800035,19153,08128-Airport,7.3,30.7,Not Available,2.3,Non-Refrigerated Warehouse,1,100,7000 Lindbergh,2000,Not Available,98825,96,229508.20,,884161920
87.3,3107955,19106,Hall Mercer at PAH,274.1,885.5,"3,781,898.70",120.2,Medical Office,1,48,251 south 8th st,1980,Not Available,70902,2903.50,4739223.60,,771004000
"1,264,370.30",3690153,19154,Flynn & OHara Uniforms,54.4,145,Not Available,31.8,Distribution Center,1,91,10905 Dutton Rd,1970,Not Available,58000,205.6,581741.20,,884282000
Not Available,1750694,19102,Centre Square - 1500 Market Street,195.1,17262.90,"41,967,787.00",75.1,Office,1,74,1500 MARKET ST,1974,Not Available,2260778,24455.30,108140337.40,,883320000
Not Available,3640515,19133,American Supply Co,3.1,17.1,Not Available,1,Non-Refrigerated Warehouse,1,100,2411 N. American Street,1930,Not Available,130000,54.4,127764.50,,884343790
"1,780,212.60",3876056,19124,Globe Dye Works,33.3,198,Not Available,19.8,Other,1,Not Available,4520 Worth St,1900,Not Available,129025,88.3,772975.00,,884090500
"2,299,814.40",3330888,19125,Hackett,98.1,473.4,Not Available,45.4,K-12 School,1,57,2161 E YORK ST,1969,Not Available,108550,708.9,2623907.50,,786594000
"483,438.70",3956656,19122,MITTEN,398.9,2192.00,"15,157,400.40",237.5,College/University,1,Not Available,1913 N. BROAD,2000,Not Available,112771,9639.30,7054030.20,,777512010
"54,550,777.50",3551776,19102,The Bellevue,466.4,11172.20,"7,355,416.20",225.1,Office,1,8,200 South Broad Street,1904,Not Available,533393,30955.20,58165285.20,,883701000
"365,268.10",3330951,19111,Carnell,137.8,617.7,Not Available,97.9,K-12 School,1,54,1100 DEVEREAUX AVE,1931,"5,606,940.20",74885,1259.50,1361173.40,,786106800
"1,475,899.90",3663826,19154,1198-Philadelphia - Roosevelt BL,38.6,190.5,Not Available,21.4,Non-Refrigerated Warehouse,1,83,12005 Roosevelt Blvd,2009,Not Available,108232,,837291.20,,884269100
"24,727,769.60",3122487,19107,833 Chestnut,345.4,10824.20,Not Available,132.8,Office,1,Not Available,833 Chestnut Street,1926,Not Available,757706,6710.00,71047359.50,,883313600
"4,111,000.20",4092251,19154,Pathmark Store 2723,566.3,1398.70,Not Available,228.8,Supermarket/Grocery Store,1,72,85 FRANKLIN MILLS BLVD,1999,Not Available,56508,772,8817201.70,,882691015
Not Available,3682894,19109,Liberty Place,25.2,466.4,Not Available,8,Parking,1,Not Available,20 South 16th Street,1986,Not Available,434000,,3484426.50,,883422300
Not Available,4177138,19154,Hadco,157.1,544.1,Not Available,50,Manufacturing/Industrial Plant,1,Not Available,2811 Charter Road,1968,Not Available,81000,346.9,4064620.10,,884291000
"11,505,056.30",3687923,19103,Hotel Palomar Philadelphia,268.3,1887.90,Not Available,134.3,Hotel,1,29,117 South 17th Street,1929,Not Available,130294,7714.80,9537925.30,,883050000
"24,793,063.90",3281345,19136,Detention Center,623.1,3163.60,Not Available,362.3,Prison/Incarceration,1,Not Available,8201 State Rd,1963,"1,996,708.40",108960,116063.20,12688317.00,,786504751
Not Available,2344443,19134,7198,148,411.7,Not Available,47.1,Retail Store,1,73,3301 Aramingo Avenue,1978,Not Available,65264,281,3075795.20,,882125300
"2,044,414.40",3819955,19133,Hartranft Community,293.1,171.5,Not Available,203.4,K-12 School,1,6,2400 N 8TH ST,1968,Not Available,12362,98.4,470194.40,,785137405
"4,469,597.40",3823128,19102,Le Meridien Philadelphia Hotel,246.5,1750.10,Not Available,96.7,Hotel,1,36,1419 arch St,1906,Not Available,163000,5626.30,11300284.70,,883057105
"234,662.20",3681796,19141,Northwest Regional Center,177.6,671.4,Not Available,73.5,College/University,1,Not Available,1300 W Godfrey Ave,1965,"1,794,966.20",81018,3086.00,3927682.90,,776554000
Not Available,3597401,19107,1211 Chestnut St.,168.9,760.9,"2,488,330.70",69.1,Office,1,77,1211 Chestnut St.,1919,Not Available,100366,1017.40,4449650.60,,883311500
"60,287,240.60",3994744,19121,Girard College,108.8,4925.30,Not Available,77.1,K-12 School,30,Not Available,2035 South College Avenue,1848,-,950825,8292.80,12681827.40,,772510000
"1,007,753.70",3681050,19122,Crane Arts LLC,43,196.4,Not Available,21.8,Office,1,100,1400 North American St,1905,Not Available,110000,454.6,1392869.70,,884588700
"45,632,841.70",3884090,19118,Chestnut Hill College/ Mount Saint Josephs Convent,124.6,5494.90,Not Available,71.3,College/University,14,Not Available,9601/9701 Germantown Ave,1875,-,962359,15198.10,22942069.60,,775518010
"4,229,750.70",3761815,19154,Local 420,160.7,603.9,Not Available,85.1,Vocational School,1,Not Available,14420 Townsend Rd.,2000,Not Available,83000,986,2832939.60,,884292608
"316,697.50",2926182,19107,801 Arch Street,74.6,544.1,Not Available,25,Office,1,98,801 Arch Street,1975,Not Available,170348,515.2,3939003.90,,883009600
"21,633,211.30",3389438,19130,Philadelphia Nursing Home,204.6,3211.70,Not Available,106.6,Senior Care Community,4,1,2100 W Girard Ave,1950,Not Available,347543,12900.20,15408049.50,,881444600
"4,385,755.80",3596849,19130,642 N. Broad St.,141.3,1715.70,Not Available,55.5,Office,1,88,642 N. Broad St.,1903,Not Available,278741,1699.60,11076713.40,,883524700
Not Available,1299442,19107,PA0143ZZ - RN NIX FED BLDG & USPO,108.4,1934.50,"6,988,751.70",45.4,Office,1,92,900 MARKET STREET,1937,Not Available,405240,2472.00,10984592.80,,781051010
"3,527,593.20",3884838,19131,Hawk's Landing Parking Facility and Retail,621.4,525.5,Not Available,323.3,Parking,1,Not Available,2461 N. 54th Street,2008,Not Available,168365,1649.50,2526145.20,,774510100
"17,359,389.50",1819058,19123,MATSSC,180.2,4554.80,Not Available,77.5,Office,1,81,300 Spring Garden Street,1975,Not Available,574075,6742.20,27137683.20,,781398200
"2,441,921.30",3783006,19140,Alt. Ed. Center (Hunting Park),93.3,673.1,Not Available,39.6,K-12 School,1,81,120 W HUNTING PARK AV,2004,Not Available,164000,202.6,4058980.00,,786160485
Not Available,3512082,19118,GLC 14010/8318 GERMANTOWN AVE/PHILADELPHIA/PA,187.9,518.4,Not Available,60.4,Office,1,46,8318 GERMANTOWN AVE,1905,Not Available,64512,46,3842253.20,,775619505
"3,231.60",3979395,19122,SPEAKMAN,265.2,1480.80,"10,151,924.90",188.1,College/University,1,Not Available,1801 N. 13TH,2000,Not Available,110605,15,3025710.40,,777509000
"3,045,876.30",3859685,19143,5000 PASCHALL AVENUE ASSOCIATES,71.9,362.8,Not Available,41.3,Manufacturing/Industrial Plant,1,Not Available,5000 paschall avenue,1940,Not Available,110000,1575.60,1501962.40,,884100500
"317,317.30",3788596,19102,HUH Main Buildings,505.2,37044.30,"223,271,770.90",249.1,Hospital (General Medical & Surgical),5,Not Available,230 N Broad Street,1979,Not Available,1563117,95255.10,165856774.10,,772025000
"1,122,613.70",3637470,19114,Stevenson Lane Residence,92.5,275.2,Not Available,40.5,College/University,1,Not Available,9801 Frankford Avenue,2009,Not Available,67430,2042.60,1610355.20,,778503000
"13,075,980.00",3881814,19118,Chestnut Hill,64.8,731.9,Not Available,61.7,K-12 School,1,98,500 West Willow Grove Ave.,1900,"481,620.00",220000,70,12252.50,,775535510
"2,239,236.00",4096072,19104,Devon/Belmont LLC,73.6,489.2,Not Available,33.4,Self-Storage Facility,1,Not Available,1300 Belmont Ave.,1950,Not Available,150000,19.6,2765934.70,,884220000
Not Available,3916422,19129,SoHo South,56.6,415.2,Not Available,18,Self-Storage Facility,1,Not Available,3500 Scotts Lane,1962,Not Available,172000,932.9,3101724.30,,884130500
"1,924,747.40",3773606,19154,Ziff & Co.,125.9,329.4,Not Available,62,Non-Refrigerated Warehouse,1,46,2800 Black Lake Pl.,1987,Not Available,58372,199.4,1696954.80,,884292570
"20,271,176.10",3773617,19102,Union League of Philadelphia,323.5,3217.60,Not Available,164.1,Social/Meeting Hall,1,Not Available,140 S Broad St.,1865,Not Available,221044,12720.60,15992897.00,,883701500
